,Sentence,Label,Dataset,trans_lang_choose,trans_lang,from_en,to_en
6024,A soul-stirring documentary about the Israeli/Palestinian conflict as revealed through the eyes of some children who remain curious about each other against all odds .,4,train,el,yo,A ọkàn-saropo itan nipa awọn ti Israel / iwode rogbodiyan bi han nipasẹ awọn oju ti diẹ ninu awọn ọmọde ti o wa iyanilenu nipa kọọkan miiran lodi si gbogbo awọn aidọgba.,A soul-stirring story about the Israeli / Palestinian conflict as shown through the eyes of some children who are curious about each other against all odds.
6025,"... a great , participatory spectator sport . '",3,train,ig,so,"... weyn, isboortiga daawade ka qaybqaadashada. '",... a great spectator sport participation. '
6026,It 's like a drive-by .,1,train,th,ny,Iwo 'S ngati galimoto-ndi.,It 'S car-with.
6027,( A ) stale retread of the '53 original .,1,train,zh-tw,bs,(A) ustajale retread od '53 originala.,(A) from the stale retread '53 original.
6028,"I 'm convinced I could keep a family of five blind , crippled , Amish people alive in this situation better than these British soldiers do at keeping themselves kicking .",1,train,gd,hmn,"Kuv 'm ntxias kuv yuav kom ib tsev neeg ntawm tsib qhov muag tsis pom, ceg tawv, Amish neeg ciaj sia nyob rau hauv qhov teeb meem no zoo dua cov British tub rog ua qhov ua kom lawv tus kheej roj hmab.","I'm convinced I can make a family of five blind, crippled, Amish people survive in this situation better than the British soldiers to make their own dolls."
6029,"Because the film deliberately lacks irony , it has a genuine dramatic impact ; it plays like a powerful 1957 drama we 've somehow never seen before .",4,train,kk,mk,"Бидејќи филмот намерно нема иронија, тој има вистинска драматично влијание; тој игра како моќен 1.957 драма ние ""некако никогаш не сум видел.","Since the film deliberately no irony, he has a real dramatic impact; he plays as a powerful 1957 drama we ""somehow never seen before."
6030,"At a brief 42 minutes , we need more X and less blab .",2,train,gl,te,"ఒక సంక్షిప్త 42 నిమిషాలకు, మేము మరింత X మరియు తక్కువ బయటపెట్టు అవసరం.","A brief 42 minutes, we need more X and less exposure."
6031,"A first-class road movie that proves you can run away from home , but your ego and all your problems go with you .",4,train,tg,ps,د لومړي ټولګي سړک فلم چې ثابتوي چې تاسو له کوره وتښتي، خو د خپل نفس او ستاسو د ټولو ستونزو له تاسو سره ولاړ شي.,"The first class road movie that proves that you are away from home, but to my ego and go with you to all your problems."
6032,The film did n't convince me that Calvin Jr. 's Barbershop represents some sort of beacon of hope in the middle of Chicago 's South Side .,1,train,lt,ku,"Fîlm ji min îqna bike ne ku Calvin Jr. 's Barbershop temsîl hin sort ji ronahiya hêviyê, di navîn of Chicago' s Side South.","The film is to convince me that Calvin Jr. 'S Barbershop represent some sort of beacon of hope, in the middle of Chicago' s South Side."
6033,"High Crimes knows the mistakes that bad movies make and is determined not to make them , and maybe that is nobility of a sort .",2,train,ig,es,"Toda la verdad sabe los errores que hacen películas malas y está decidido a no hacerlos, y tal vez esto es nobleza de una especie.","The whole truth knows the mistakes that make bad movies and is determined not to do, and perhaps this is a kind of nobility."
6034,"both overstuffed and undernourished ... The film ca n't be called a solid success , although there 's plenty of evidence here to indicate Clooney might have better luck next time .",2,train,pa,cs,"jak přeplněný a podvýživou ... Film nelze nazvat solidní úspěch, i když tam je spousta důkazů zde uvést Clooney může mít větší štěstí příště.","how crowded and malnutrition ... The movie can not be called a solid success, although there is plenty of evidence here to state Clooney may have better luck next time."
6035,"The story is -- forgive me -- a little thin , and the filmmaking clumsy and rushed .",1,train,co,es,"La historia es - perdóname - un poco más delgada, y la cinematografía torpe y apresurada.","The story is - pardon me - a little thinner, and the clumsy and hasty cinematography."
6036,"A sterling film - a cross between Boys Do n't Cry , Deliverance , and Ode to Billy Joe - lies somewhere in the story of Matthew Shepard , but that film is yet to be made .",2,train,pt,be,"Паўнавартасны фільм - помесь хлопчыкі не плача, Deliverance і Ода Білі Джо - хлусня дзесьці ў гісторыі Мэцью Шепарда, але гэты фільм яшчэ трэба будзе зрабіць.","Full movie - a cross between the boys do not cry, Deliverance and Ode to Billy Joe - lie somewhere in the story of Matthew Shepard, but this film is yet to be done."
6037,"You 've already seen City by the Sea under a variety of titles , but it 's worth yet another visit .",3,train,ne,xh,"Wena 'oke esele ibonwe City eLwandle phantsi ezahlukeneyo izihloko, kodwa kubalulekile kodwa omnye tyelelo s.","You 've already seen Marine City under different titles, but it is important, but one in s."
6038,Mr. Soderbergh 's direction and visual style struck me as unusually and unimpressively fussy and pretentious .,0,train,mi,tl,Mr Soderbergh ni direksyon at visual style struck ako bilang unusually at unimpressively mabusisi at bongga.,Mr. Soderbergh's direction and visual style struck me as unusually fussy and pretentious and unimpressively.
6039,"By the end of it all I sort of loved the people onscreen , even though I could not stand them .",3,train,tr,gu,"તે બધા હું અંત માણી લોકો ઓનસ્ક્રીન, તેમ છતાં હું તેમને ઊભા કરી શક્યા નથી આનાથી સૉર્ટ કરો.","Although it onscreen, the people I loved him in the end I could not stand that sort."
6040,"Even before it builds up to its insanely staged ballroom scene , in which 3000 actors appear in full regalia , it 's waltzed itself into the art film pantheon .",3,train,gu,or,"ଏହା ନିର୍ମାଣ ଉପରକୁ ଏହାର insanely staged ବଲରୁମ ଦୃଶ୍ୟ, ଯେଉଁଥିରେ 3000 actors ସମ୍ପୂର୍ଣ୍ଣ Regalia ଦର୍ଶାଇବାକୁ ଏପରିକି ପୂର୍ବରୁ, ଏହା 's କଳା ଚଳଚ୍ଚିତ୍ର Pantheon ଭିତରକୁ ନିଜେ waltzed।","This view of the ballroom, its insanely staged build up, which completely Regalia 3000 actors to show that even before, it 's black film itself waltzed into the Pantheon."
6041,Hollywood has taken quite a nosedive from Alfred Hitchcock 's imaginative flight to Shyamalan 's self-important summer fluff .,1,train,th,uk,Голлівуд прийняв досить різке падіння від «уявної польоту s до Шьямалану» Альфред Хічкок із зарозумілістю річного пуху.,"Hollywood has taken a fairly sharp drop the ""s imaginary flight to Shyamalan"" Alfred Hitchcock years of arrogance down."
6042,"Blessed with a searing lead performance by Ryan Gosling ( Murder by Numbers ) , the movie is powerful and provocative .",4,train,sm,tl,"Mapalad na may isang searing pagganap ng lead sa pamamagitan ng Ryan sisiw ng gansa (Pagpatay sa pamamagitan ng Numbers), ang pelikula ay makapangyarihan at nakakapukaw.","Blessed with a searing lead performance by Ryan Gosling (Murder by Numbers), the movie is powerful and provocative."
6043,It strikes hardest ... when it reminds you how pertinent its dynamics remain .,3,train,be,tr,Bu zor çarpar ... ilgili kendi dinamikleri kalır nasıl hatırlatır zaman.,It remains difficult to hit ... about how their dynamics is always remembered.
6044,"Whenever you think you 've seen the end of the movie , we cut to a new scene , which also appears to be the end .",1,train,ig,kk,"сіз «Фильмнің соңында көрмеген ойлаймын кезде, біз сондай-ақ түпкі болуға пайда жаңа сахна, кесілген.","When you think you have not seen ""at the end of the film, we also appear to be the root of the new scene is cut off."
6045,The colorful Masseur wastes its time on mood rather than riding with the inherent absurdity of Ganesh 's rise up the social ladder .,1,train,ceb,hy,"The գունագեղ Masseur վատնում է իր ժամանակը տրամադրություն, այլ ոչ թե ձիավարություն բնորոշ աբսուրդի Ganesh 's բարձրանալ մինչեւ սոցիալական սանդուղք.",The colorful Masseur wasting his time mood rather than riding the inherent absurdity of Ganesh 's climb up the social ladder.
6046,"... the tale of her passionate , tumultuous affair with Musset unfolds as Sand 's masculine persona , with its love of life and beauty , takes form .",3,train,am,haw,"... i ka moʻolelo o kona passionate, wawā nui hoʻokolokolo me Musset wehewehe nui loa aku i Sand 'ke käne persona, a me kona aloha ana i ke ola a me ka maikai, i palapala.","... the story of her passionate, tumultuous competent Musset unfold in Sand 'husband persona, and his love of life and good writing."
6047,More of an intriguing curiosity than a gripping thriller .,2,train,sq,af,Meer van 'n intrige nuuskierigheid as 'n aangrypende riller.,More of an intriguing curiosity as a gripping thriller.
6048,"But then again , I hate myself most mornings .",1,train,haw,eo,"Sed tiam denove, mi malamas min mem plej matenoj.","But then again, I hate myself most mornings."
6049,A smart little indie .,3,train,cs,so,A indie yar smart.,A small indie smart.
6050,"Directors Harry Gantz and Joe Gantz have chosen a fascinating subject matter , but the couples exposing themselves are n't all that interesting .",2,train,yi,bs,"Direktori Harry Gantz i Joe Gantz su izabrali fascinantan predmet, ali parovi izlažu nisu toliko zanimljivo.","Directors Harry Gantz Joe Gantz have chosen a fascinating subject, but the couples are exposed are not so interesting."
6051,Top-notch action powers this romantic drama .,4,train,lb,bn,শীর্ষ খাঁজ কর্ম ক্ষমতা এই রোমান্টিক নাটক।,This romantic drama is top notch capability.
6052,"The impulses that produced this project ... are commendable , but the results are uneven .",2,train,ca,be,"Імпульсы, якія вырабілі гэты праект ... пахвальныя, але вынікі неаднолькавыя.","Impulses that made this project ... commendable, but the results are not the same."
6053,"Contrived as this may sound , Mr. Rose 's updating works surprisingly well .",3,train,be,kn,"ಈ ಧ್ವನಿಸಬಹುದು ರೂಪಿಸಲಾದ, ಶ್ರೀ ರೋಸ್ ನ ಅಪ್ಡೇಟ್ ಆಶ್ಚರ್ಯಕರ ಚೆನ್ನಾಗಿ ಕೆಲಸ.","This may sound contrived, Mr. Rose's update works surprisingly well."
6054,"Though it never rises to its full potential as a film , still offers a great deal of insight into the female condition and the timeless danger of emotions repressed .",2,train,fa,pl,"Choć nigdy nie wznosi się do jego pełnego potencjału jako film, nadal oferuje wiele wgląd w stan kobiecego i niebezpieczeństwo ponadczasową emocji represjonowanych.","Though never rises to its full potential as a movie, still it offers a lot of insight into the state of women's risk of timeless emotions and repressed."
6055,Consistently clever and suspenseful .,4,train,vi,be,Паслядоўна разумны і трывожны.,Consistently intelligent and disturbing.
6056,Looks more like a travel-agency video targeted at people who like to ride bikes topless and roll in the mud than a worthwhile glimpse of independent-community guiding lights .,0,train,yo,fr,Ressemble plus une vidéo Voyage-agence destinée aux personnes qui aiment faire du vélo torse nu et rouler dans la boue d'un aperçu intéressant des lumières de guidage indépendant communautaires.,Sounds more like a video-travel agency for people who like to topless bike and ride in the mud of an interesting overview of Community independent guiding lights.
6057,A gripping documentary that reveals how deep the antagonism lies in war-torn Jerusalem .,3,train,cs,si,යුද්ධයෙන් විනාශ වූ යෙරුසලමේ කෙතරම් ගැඹුරු ප්රතිඝතිතා බොරු හෙළි කරන ඇරැඹී වාර්තා.,The report reveals a gripping lies deep contradictions in Jerusalem was destroyed by war.
6058,"Julie Davis is the Kathie Lee Gifford of film directors , sadly proving once again ego does n't always go hand in hand with talent .",1,train,ca,lv,"Julie Davis ir Kathie Lee Gifford no režisoriem, diemžēl pierāda atkal ego ne vienmēr iet roku rokā ar talantu.","Julie Davis is Kathie Lee Gifford of directors, unfortunately proves again the ego does not always go hand in hand with talent."
6059,Among the many pleasures are the lively intelligence of the artists and their perceptiveness about their own situations .,3,train,be,nl,Onder de vele geneugten zijn de levendige intelligentie van de kunstenaars en hun opmerkzaamheid over hun eigen situatie.,Among the many pleasures the lively intelligence of the artists and their attention on their own situation.
6060,The film is predictable in the reassuring manner of a beautifully sung holiday carol .,3,train,mn,vi,Bộ phim là dự đoán theo cách trấn an của một kỳ nghỉ hát đẹp carol.,The film is predictable way to reassure a beautiful carol singing holiday.
6061,Sharp edges and a deep vein of sadness run through its otherwise comic narrative .,3,train,si,cy,ymylon miniog a gwythïen ddofn o rhedeg dristwch drwy ei naratif fel arall comig.,sharp edges and deep vein of sadness running through his comic narrative otherwise.
6062,"It has a caffeinated , sloppy brilliance , sparkling with ideas you wish had been developed with more care , but animated by an energy that puts the dutiful efforts of more disciplined grade-grubbers to shame .",3,train,si,uk,"Він має кофеїн, неохайний блиск, блискучу ідеї, які ви хочете було розроблено ретельніше, але натхненна енергією, яка ставить слухняне зусилля більш дисциплінованого-градацій grubbers до сорому.","It has caffeine, sloppy shine, brilliant ideas you want has been designed carefully, but inspired by the energy that puts more effort obedient disciplined gradation-grubbers to shame."
6063,"Despite bearing the Paramount imprint , it 's a bargain-basement European pickup .",0,train,iw,af,"Ten spyte van die draers van die Paramount afdruk, dit is 'n winskoop-kelder Europese bakkie.","Despite bearing the Paramount print, this is a bargain-basement European dish."
6064,"It ca n't escape its past , and it does n't want to .",2,train,gd,ne,"यसलाई आफ्नो पछिल्लो उम्कन सक्दैन, र यो गर्न चाहनुहुन्छ छैन।","It can not escape his past, and it does not want to."
6065,You could put it on a coffee table anywhere .,2,train,ar,es,Se puede poner en cualquier lugar en una mesa de café.,You can put anywhere on a coffee table.
6066,"Forgettable , if good-hearted , movie .",1,train,zh-cn,or,"Forgettable, ଭଲ-hearted ଯଦି, ଚଳଚ୍ଚିତ୍ର।","Forgettable, if Responsible hearted, film."
6067,The sword fighting is well done and Auteuil is a goofy pleasure .,3,train,sr,te,కత్తి యుద్ధం బాగా పని మరియు Auteuil ఒక గూఫీ ఆనందం ఉంది.,Goofy is a pleasure to work well in the battle sword and Auteuil.
6068,"Once folks started hanging out at the barbershop , they never wanted to leave .",3,train,es,sn,Kamwe vanhu vakatanga akarembera panze panguva bhabhashopu havana vaida kuenda.,Once people started hanging out at the bhashopu they wanted to go.
6069,Draggin ' about dragons,2,train,ug,vi,Draggin 'về rồng,Draggin 'dragon
6070,"What with all the blanket statements and dime-store ruminations on vanity , the worries of the rich and sudden wisdom , the film becomes a sermon for most of its running time .",1,train,ps,sm,"O le a ma faamatalaga le palanikeke uma ma sefulu sene-faleoloa ruminations i fiatagata, o le popolega o le poto mauoa ma faafuasei, o le ata ua avea o se lauga mo le tele o lona taimi e tamoe.","The information sheet and dime-store ruminations in isolation, the stress of the experience rich and suddenly, the picture becomes a talk for most of his time running."
6071,City by the Sea is a gritty police thriller with all the dysfunctional family dynamics one could wish for .,3,train,lv,ga,Is í Cathair ag an Mhuir scéinséir póilíneachta gritty leis na dinimic teaghlaigh mhífheidhmiúil d'fhéadfadh mhaith ceann do.,City is a gritty police thriller Sea with the dysfunctional family dynamics might one want to.
6072,"... if you , like me , think an action film disguised as a war tribute is disgusting to begin with , then you 're in for a painful ride .",0,train,haw,mr,"... आपण, मला सारखे, एक युद्ध खंडणी म्हणून छुपी एक अॅक्शन चित्रपट सुरू करण्यासाठी खराब आहे असे वाटत असेल तर आपण 'वेदनादायक त्यातील पुन्हा.","... you, if you think I'm bad to start an action film like disguised as a war tribute to you, 'and again painful."
6073,Brings awareness to an issue often overlooked -- women 's depression .,2,train,ky,ms,Membawa kesedaran kepada isu sering diabaikan - kemurungan wanita.,Bringing awareness to the issue often overlooked - depression woman.
6074,"Whether this is art imitating life or life imitating art , it 's an unhappy situation all around .",1,train,haw,my,"ဒီအနုပညာအတုယူဘဝသို့မဟုတ်ဘဝများတွင်အတုယူအနုပညာဟုတ်မဟုတ်, က '' ပတ်လည်တစ်ဦးမပျော်အခွအေနေ့။","Whether art imitates life or life imitates art, '' about an unhappy situation."
6075,Highly watchable stuff .,4,train,ga,zh-tw,非常有看頭的東西。,Very worth seeing things.
6076,"Williams plays Sy , another of his open-faced , smiling madmen , like the killer in Insomnia .",2,train,km,mn,"Уильямс, нойргүйдэх нь алуурчин шиг, Элчин сайдын яам, түүний нээлттэй тулгарч инээмсэглэн madmen өөр гүйцэтгэдэг.","Williams, insomnia performed by a killer like madmen, smiling faces, the Embassy and its open."
6077,"The movie is n't painfully bad , something to be ` fully experienced ' ; it 's just tediously bad , something to be fully forgotten .",1,train,hmn,ug,"كىنو, نەرسە «` تولۇق تەجرىبىلىك بولىدۇ painfully يامان ئەمەس; بۇ نىڭ پەقەت tediously ناچار, نەرسە تولۇق ئۇنتۇپ قىلىنىدۇ.","Film, is ""` is not fully experienced the painfully bad; It's just bad tediously will be forgotten, is full."
6078,"` You 'll laugh for not quite and hour and a half , but come out feeling strangely unsatisfied .",2,train,de,bg,"`При нас ще се смея за не съвсем и час и половина, но излезе чувствате странно неудовлетворени.","`I will laugh for no just and hour and a half, but left feeling strangely unsatisfied."
6079,What a great way to spend 4 units of your day .,3,train,ko,ht,Ki sa ki yon bon fason yo ap depanse 4 inite nan jou ou.,What a great way to spend 4 units of your day.
6080,"A worthy idea , but the uninspired scripts , acting and direction never rise above the level of an after-school TV special .",1,train,ro,gu,"એક લાયક વિચાર છે, પરંતુ ્ને સ્ક્રિપ્ટો, અભિનય અને દિશા એક શાળા પછીના ટીવી સ્પેશિયલ સ્તર વધ્યુ નથી.","A worthy idea, but an alternate scripts, acting and direction of an after-school TV special level does not increase."
6081,Very predictable but still entertaining,3,train,kn,sm,Lava taumateina ae faafiafiaina pea,Even predictable but still enjoyable
6082,... manages to deliver a fair bit of vampire fun .,3,train,fy,ar,... تمكن من تقديم بأس به من مصاصي الدماء المرح.,... was able to provide quite a bit of vampire fun.
6083,"A dim-witted and lazy spin-off of the Animal Planet documentary series , Crocodile Hunter is entertainment opportunism at its most glaring .",0,train,ht,co,"A official-spiritusa e lagnusi lingual mucosa-Murat di a seria ducumintariu Planet Animal, Crocodile Hunter hè Rus intrattenimentu à u so più glaring.","A dim-witted and lazy spin-off of the Animal Planet documentary series, Crocodile Hunter Rus is entertainment at its most glaring."
6084,A backstage must-see for true fans of comedy .,4,train,ku,so,Backstage A waa-arko taageerayaasha dhabta ah ee majaajilada.,A must-see for fans backstage real comedy.
6085,"In the end , though , it is only mildly amusing when it could have been so much more .",2,train,ka,fy,"Yn 'e ein, al, it is allinne mildly amüsant as it koe west hawwe safolle mear.","In the end, though, it is only mildly amusing as it could have been so much more."
6086,"Even at its worst , it 's not half-bad .",3,train,ga,ar,حتى في أسوأ حالاته، انها ليست نصف سيئة.,"Even at its worst, it's not half bad."
6087,So much about the film is loopy and ludicrous ... that it could have been a hoot in a bad-movie way if the laborious pacing and endless exposition had been tightened .,1,train,mr,yi,אַזוי פיל וועגן דער פילם איז לאָאָפּי און שטוסיק ... אַז עס קען האָבן געווען אַ האָאָט אין אַ שלעכט-פֿילם וועג אויב די לאַבאָריאַס פּייסינג און אָנ אַ סאָף עקספּאַזישאַן האט שוין טייטאַנד.,So much about the film loopi and ludicrous ... that there may have been a hoot in a bad movie channel if the laborious pacing and endless exposition has been tightened.
6088,"No French people were harmed during the making of this movie , but they were insulted and the audience was put through torture for an hour and a half .",0,train,hi,el,"Δεν Γάλλοι είχαν θιγεί κατά τη διάρκεια της λήψης αυτής της ταινίας, αλλά ήταν προσβεβλημένος και το κοινό είχε θέσει με βασανιστήρια για μια ώρα και ένα μισό.","French had not harmed during the making of this film, but was offended and the public was put to torture for an hour and a half."
6089,"Even through its flaws , Revolution # 9 proves to be a compelling , interestingly told film .",3,train,en,su,"Malah ngaliwatan flaws anak, Revolusi # 9 ngabuktikeun jadi, pilem Lucuna ngawartoskeun compelling.","Even through its flaws, Revolution # 9 prove to be, the film told Interestingly compelling."
6090,Too bad none of it is funny .,0,train,sn,ar,لا شيء سيء للغاية من هو مضحك.,Nothing very bad is funny.
6091,Rodriguez has the chops of a smart-aleck film school brat and the imagination of a big kid ...,3,train,ga,he,יש רודריגז הצלעות של פרחח ספר לקולנוע חכם-אלק ואת הדמיון של ילד גדול ...,Rodriguez has a rib of film school brat smart-Alec and imagination of a big boy ...
6092,"Although Barbershop boasts some of today 's hottest and hippest acts from the world of television , music and stand-up comedy , this movie strangely enough has the outdated swagger of a shameless ` 70s blaxploitation shuck-and-jive sitcom .",2,train,it,km,"ទោះបីជាហាងកាត់សក់មានមួយចំនួននៃថ្ងៃនេះក្តៅបំផុតនិង hippest អំពើពីពិភពនៃទូរទស្សន៍, តន្ត្រីនិងកំប្លែងឈរឡើង, រឿងនេះចម្លែកគ្រប់គ្រាន់ហើយមាន swagger ហួសសម័យនៃការ blaxploitation ខ្មាស់ `អាយុ 70 ឆ្នាំសំបកនិង Jive រឿងកំប្លែង។","Although the barber shop with some of today's hottest and hippest acts from the worlds of television, music and stand-up comedy, the story strangely enough swagger obsolescence of blaxploitation embarrassed `70s comic Shuck and Jive."
6093,Suffers from a flat script and a low budget .,1,train,da,th,ทนทุกข์ทรมานจากสคริปต์แบนและงบประมาณที่ต่ำ,The script suffers from flat and low budget.
6094,"The AAA of action , XXX is a blast of adrenalin , rated EEE for excitement .",4,train,lo,de,"Die AAA-Action, ist XXX eine Explosion von Adrenalin, bewertet EEE für Aufregung.","The AAA Action is XXX an explosion of adrenaline, rated EEE stir."
6095,"Swimming is above all about a young woman 's face , and by casting an actress whose face projects that woman 's doubts and yearnings , it succeeds .",4,train,ny,xh,"Ukuqubha kuba ngaphezu kwabo bonke malunga ibhinqa eliselula 'ubuso s, kwaye ngokwenza ngumdlali weqonga iiprojekthi obuso laa mfazi' s amathandabuzo kunye iminqweno, uphumelela.","Swimming is above all about a young woman 's face, and by an actor projects fierce woman' s doubts and desires, you win."
