,Sentence,Label,Dataset,Unnamed: 0.1
65,"Fierce , glaring and unforgettable .",3,train,
66,"Girlfriends are speculative , wives are bad and cosset are the buss of death in this bitter Italian comedy .",1,train,7663.0
67,This is an elegantly balanced movie -- every member of the ensemble has something fascinating to do -- that does n't reveal even a hint of artifice .,4,train,
68,"pleasantly fast-moving , hard hitting objective .",4,train,1314.0
69,"A determined , ennui-hobbled slog that really does n't have much to say beyond the news flash that loneliness can make people act weird .",1,train,
70,Monte Cristo smartly emphasizes the well-wrought story and omits needless chase scenes and swordfights as the revenge unfolds .,4,train,
71,"For something as splendid-looking as this particular film , the viewer expects something special but instead gets ( sci-fi ) rehash .",1,train,
72,"As commander-in-chief of this film , Bigelow demonstrates a breadth of vision and an attention to detail that propels her into the upper echelons of the directing world .",4,train,
73,"Eventually , they will have a showdown , but , by then , your senses are as mushy as peas and you do n't care who fires the winning shot .",0,train,
74,"She 's a cipher , played by an actress who smiles and frowns but does n't reveal an inner life .",2,train,
75,"In the role of an observer of the scene, Lawrence White and sounds defensive, as his life-altering experience of his bitter and less mature.",1,train,
76,a The Adventures of . Nash Pluto '' is big time stinker '',0,train,4151.0
77,That the real Antwone Fisher was able to overcome his personal obstacles and become a good man is a wonderful thing ; that he has been able to share his story so compellingly with us is a minor miracle .,4,train,
78,on that point is sizeableness here .,4,train,1920.0
79,"Christian spook wary documents were submitted by the same name, a profession and Hell House, effort.",2,train,
80,"A stirring , funny and finally transporting re-imagining of Beauty and the Beast and 1930s horror films",4,train,
81,"Here 's my advice , Kev .",2,train,
82,It is the worst is not as loved this film.,1,train,
83,"Like Kissing Jessica Stein , Amy 's Orgasm has a key strength in its willingness to explore its principal characters with honesty , insight and humor .",3,train,
84,"But arriving at a particularly dark moment in history , it offers flickering reminders of the ties that bind us .",3,train,
85,"There 's a heavy stench of ` been there , done that ' hanging over the film .",1,train,
86,"A few nonbelievers may rethink their attitudes when they see the joy the characters take in this creed , but skeptics are n't likely to enter the theater .",3,train,
87,"The characterizations and dialogue lack depth or complexity , with the ironic exception of Scooter .",1,train,
88,"Ong chooses to present Ah Na 's life as a slight , weightless fairy tale , whose most unpleasant details seem to melt away in the face of the character 's blank-faced optimism .",2,train,
89,arrange the picture show inform and cultivate me,2,train,5285.0
90,There is a strong directorial stamp on every frame of this stylish film that is able to visualize schizophrenia but is still confident enough to step back and look at the sick character with a sane eye .,3,train,
91,The film is a very good viewing alternative for young women .,3,train,
92,"In the end, though, it is only mildly amusing as it could have been so much more.",2,train,
93,"I approached the usher and said that if she had to sit through it again , she should ask for a raise .",0,train,
94,Handsome and sincere but slightly awkward in its combination of entertainment and evangelical boosterism .,2,train,
95,There 's no point in extracting the bones of Byatt 's for purposes of bland .,1,train,4180.0
96,"Somewhere in the chaos, which the World Traveler, is a mediocre movie trying to get out.",1,train,
97,"wish its flaky heroine , it irrigate our person .",3,train,1536.0
98,The film is full of charm .,3,train,
99,"is a question for philosophers , not filmmakers ; all the filmmakers need to do is engage an audience .",1,train,
100,Obvious .,1,train,
101,"Despite its floating narrative , this is a remarkably accessible and haunting film .",4,train,
102,` Snow Dogs ' has both .,2,train,
103,Behind glitz Hollywood is and .,0,train,6487.0
104,The characters are deeper thought in most right-thinking 'movies'.,3,train,
105,"Spreads too thin leaving actors , as the members of short of",0,train,7356.0
106,"A little melodramatic , but with enough hope to keep you engaged .",3,train,
107,"the film does its best to work for us, second helpings of love, romance, tragedy, false dawns, real dawns, the comic relief, the two crises at the time of the marriage ceremony, and the lush scenery of the Cotswolds.",3,train,
108,You be a hard-hearted person to be by this drama .,3,train,161.0
109,`` Extreme Ops' has exceeded expectations.,3,train,
110,Worth a look as a curiosity .,3,train,
111,Feel free to go get popcorn whenever he 's not onscreen .,0,train,
112,A sluggish pace and lack of genuine narrative hem the movie in every bit as much as life hems in the spirits of these young women .,1,train,
113,More of an intriguing curiosity than a gripping thriller .,2,train,
114,Nicole Kidman makes it a party worth attending .,4,train,
115,I love the opening scenes of a wintry New York City in 1899 .,3,train,
116,Absolutely ( and unintentionally ) terrifying .,2,train,
117,"A movie I loved on first sight and , even more important , love in remembrance .",4,train,
118,It 's mindless junk like this that makes you appreciate original romantic comedies like Punch-Drunk Love .,2,train,
119,The production values are of the highest and the performances attractive without being memorable .,3,train,
120,About as big a crowdpleaser as they possibly come .,4,train,
121,"With a tighter editorial process and firmer direction this material could work , especially since the actresses in the lead roles are all more than competent , but as is , Personal Velocity seems to be idling in neutral .",1,train,
122,Do n't say you were n't warned .,1,train,
123,A beautiful paean to a time long past .,3,train,
124,It 's the humanizing stuff that will probably sink the film for anyone who does n't think about percentages all day long .,1,train,
125,revolting .,0,train,7983.0
126,"that setting , their struggle is simply too and borderline insulting",0,train,5383.0
127,"Much of the digitally altered footage appears jagged , as if filmed directly from a television monitor , while the extensive use of stock footage quickly becomes a tiresome cliché .",1,train,
128,It 's not original enough .,1,train,
129,"What Eric Schaeffer has accomplished with Never Again may not , strictly speaking , qualify as revolutionary .",2,train,
130,"If you love the music , and I do , its hard to imagine having more fun watching a documentary ...",4,train,
131,The film rehashes several old themes and is capped with pointless extremes -- it 's insanely violent and very graphic .,0,train,
132,What sets Ms. Birot 's film apart from others in the genre is a greater attention to the parents -- and particularly the fateful fathers -- in the emotional evolution of the two bewitched adolescents .,3,train,
133,What they see in each other also is difficult to fathom .,1,train,
134,One of the worst movies of the year .,0,train,
135,"( Cho 's face is ) an amazing slapstick instrument , creating a scrapbook of living mug shots .",3,train,
136,"Not a bad premise, but the execution was poor at best.",2,train,
137,A cautionary tale about the grandiosity of a college student who sees himself as impervious to a fall .,2,train,
138,genuine mind-bender,3,train,8411.0
139,"In the long , dishonorable history of quickie teen-pop exploitation , Like Mike stands out for its only partly synthetic decency .",2,train,
140,"I 'll put it this way : If you 're in the mood for a melodrama narrated by talking fish , this is the movie for you .",2,train,
141,A mildly enjoyable if toothless adaptation of a much better book .,2,train,
142,"Bad in such a bizarre way that it 's almost worth seeing , if only to witness the crazy confluence of purpose and taste .",2,train,
143,"Kids do n't mind crappy movies as much as adults , provided there 's lots of cute animals and clumsy people .",1,train,
144,"A perfectly acceptable , perfectly bland , competently acted but by no means scary horror movie .",2,train,
145,"The 3-D vistas from orbit , with the space place suspended like a huge set of wind chimes over the bully down globe , are stanza of breathtaking , awe-inspiring visual poetry .",4,train,3877.0
146,"Adam Sandler 's heart may be in the right place , but he needs to pull his head out of his butt",1,train,
147,This is a false and stiphlin'gly unfunny mess!,0,train,
148,The movie does has some entertainment value - how much depends on how well you like Chris Rock .,2,train,
149,to sit there.,1,train,
150,A very good film sits in the place where a masterpiece should be .,3,train,
151,I did n't laugh .,1,train,
152,"... unlike ( Scorsese 's Mean Streets ) , Ash Wednesday is essentially devoid of interesting characters or even a halfway intriguing plot .",0,train,
153,Several pieces of film buzz and whir; Very little of it really clicks.,1,train,
154,"... Pearce on hand to keep things on semi-stable dramatically retooled Machine effective enough at achieving the , crowd-pleasing goals it sets for itself .",4,train,930.0
155,A psychological drama about a father returns to son 's home after decades away .,3,train,548.0
156,"Although the lender Aboriginal perspective end and exceptional sharpness, and the story itself can be played in any working-class community in the country.",3,train,
157,"If there 's a heaven for bad movies , Deuces Wild is on its way .",0,train,
158,"A first-class , thoroughly involving B movie that effectively combines two surefire , beloved genres -- the prison flick and the fight film .",4,train,
159,on that point 's no disguising this as unitary of the spoiled films of the summertime .,0,train,7831.0
160,"After a while , Hoffman 's quirks and mannerisms , particularly his penchant for tearing up on cue -- things that seem so real in small doses -- become annoying and artificial .",1,train,
161,"From Robinson to give credit to everyone at the key grip, this bold move works.",4,train,
162,The reduced von Sydow is also ro ... victims of Intacto.,3,train,
163,There is no getting around the fact that this is the Revenge Of The Nerds Revisited - again.,2,train,
164,Here 's yet another cool crime movie that actually manages to bring something new into the mix .,3,train,
165,"Unofficially , National Lampoon 's Van Wilder is Son of Animal House .",2,train,
166,"There 's an admirable rigor to Jimmy 's relentless anger , and to the script 's refusal of a happy ending , but as those monologues stretch on and on , you realize there 's no place for this story to go but down .",1,train,
167,"Look for Scratch Records to scratch for listening to music, watching a scratch for a lesson in the ninth. However, most see it all for love.",4,train,
168,Big mistake .,1,train,
169,Where the film falters is in its tone .,1,train,
170,The film is a verbal duel between two gifted performers .,4,train,
171,Watching `` Ending '' is too often like looking over the outdated clothes and plastic knickknacks at your neighbor 's garage sale .,1,train,
172,The film favors the scientific over the spectacular ( visually speaking ) .,2,train,
173,"Leave a sucker-punch delivered, and its effects last film of director Zhang cuddly shower, beause than a non-threatening multi-character piece was centered around a public bath house.",2,train,
174,The script feels as if it started to explore the obvious voyeuristic potential of ` hypertime ' but then backed off when the producers saw the grosses for Spy Kids .,2,train,
175,Anyone else get a line this before,2,train,3397.0
176,Extremely bad .,0,train,
177,You have no affinity for most of the characters .,0,train,
178,"Shows that Jackie Chan is getting older , and that 's something I would rather live in denial about",1,train,
179,"Not everyone will welcome or accept The Trials of Henry Kissinger as faithful portraiture , but few can argue that the debate it joins is a necessary and timely one .",3,train,
180,"There 's absolutely no reason why Blue Crush, a voice of late summer surfer girl, how it should be fun",3,train,
181,"In a big corner office in Hell , Satan is throwing up his hands in surrender , is firing his R&D people , and has decided he will just screen The Master of Disguise 24/7 .",0,train,
182,"Just a string of stale gags , with no good inside dope , and no particular bite .",1,train,
183,Does not go far enough in its humor or stock ideas to stand out as particularly memorable or even all that funny .,1,train,
184,Astonishingly clever and moved ... to be Hawai'i is the work that masterfully with another.,4,train,
185,A drama really smart move and unsentimental.,4,train,
186,"A sweet , tender sermon about a 12-year-old Welsh boy more curious about God than girls , who learns that believing in something does matter .",3,train,
187,"The star who helped give a spark to `` Chasing Amy '' and `` Changing Lanes '' falls flat as thinking man CIA agent Jack Ryan in this summer 's new action film , `` The Sum of All Fears . ''",1,train,
188,"Davis is funny, charming and quirky feature film in her acting debut as Amy.",3,train,
189,"It not a good , but is it a one .",2,train,8051.0
190,One of the most depressing film going to happen is that sitting through 90 minutes of so-called `comedy 'and not laugh once.,1,train,
191,"it allow you skirmish up against the humanity of a psycho , without making him any le psycho .",3,train,2498.0
192,"merge derivative elements into something that is oft quite rich and exciting , and forever a peach to behold .",4,train,3019.0
193,"... an hour-and-a-half of inoffensive , unmemorable filler .",0,train,
194,"Swinging , the pic seduce it seem , is not a pursuit that pull in the young and fit .",1,train,4507.0
195,A `` black Austin Powers ? '',2,train,
196,"Egoyan work of all like, Ararat is uncommonly wise and aspirations clash.",3,train,
197,The darker elements of misogyny and unprovoked violence suffocate the illumination created by the two daughters and the sparse instances of humor meant to shine through the gloomy film noir veil .,1,train,
198,Fessenden 's narrative is just as much about the ownership and redefinition of myth as it is about a domestic unit finding their way to joy .,3,train,
199,"A stirring tribute to the bravery and dedication of the world 's reporters who willingly walk into the nightmare of war not only to record the events for posterity , but to help us clearly see the world of our making .",4,train,
200,"Girlfriends are bad , wives are worse and babies are the kiss of death in this bitter Italian comedy .",1,train,
201,"If you 're as happy listening to movies as you are watching them , and the slow parade of human frailty fascinates you , then you 're at the right film .",3,train,
202,A captivating coming-of-age story that may also be the first narrative film to be truly informed by the wireless age .,4,train,
203,absorbing unsettling psychological drama .,3,train,522.0
204,"The overall fabric is hypnotic , and Mr. Mattei fosters moments of spontaneous intimacy .",4,train,
205,Where their heads were is anyone 's guess .,1,train,
206,Beautifully produced .,4,train,
207,"It may not be cutting, as witty or as true as back in the days glory Weekend two or three that I know about him, but the one associated filmmaking today so careful questions cultural and moral involves doing?",2,train,
208,"A special kind of movie , this melancholic film noir reminded me a lot of Memento ...",4,train,
209,"Missteps take what was otherwise a fascinating , riveting story and send it down the path of the mundane .",2,train,
210,"Return to Never Land may be another shameless attempt by Disney to rake in dough from baby boomer families , but it 's not half-bad .",3,train,
211,Worth a salute just for trying to be more complex than your average film .,3,train,
212,This is largely a mixture with enough negatives outweigh the positives.,1,train,
213,"Sadly , ` Garth ' has n't progressed as nicely as ` Wayne . '",1,train,
214,Predictably melodramatic .,1,train,
215,What bubbles up out of John C. Walsh 's Pipe Dream is the distinct and very welcome sense of watching intelligent people making a movie they might actually want to watch .,3,train,
216,The hot up of the present moment reign .,3,train,1086.0
217,"A loud , brash and mainly unfunny high school comedy .",0,train,
218,Majidi 's direction has never been smoother or more confident .,4,train,
219,"vain , Bentley and overcome stare design sniffle , Hudson movie-star as Ledger attempts , in Adrift , to prove that , intensity can respectively bad hair and .",1,train,7036.0
220,Aggravating and tedious .,0,train,
221,"I admire it and yet can not recommend it , because it overstays its natural running time .",1,train,
222,"Enigma is well-made , but it 's just too dry and too placid .",1,train,
223,from the train,1,train,4451.0
224,At the end you simply admire this bit or that this service or that.,2,train,
225,"A small arm of gently entertaining , inoffensive botch that drifts aimlessly for 90 minutes before lodging in the cracks of that ever-growing family unembarrassing but unmemorable .",1,train,4570.0
226,"every consequence scraunch with tensity , and by the end of the flick , you 're on the edge of your seat .",4,train,2600.0
227,"Elaborate special effects take centre screen , so that the human story is pushed to one side .",3,train,
228,( Seems ) even more uselessly redundant and shamelessly money-grubbing than most third-rate horror sequels .,1,train,
229,"This heist flick about a young Brooklyn Hoods distant shelf two years later that the more Vin Diesel, Seth Green and Barry Pepper.",2,train,
230,Shallow .,1,train,
231,` Rare Birds ' tries to force its quirkiness upon the audience .,2,train,
232,"The appeal of the vulgar , sexist , racist humour went over my head or -- considering just how low brow it is -- perhaps it snuck under my feet .",0,train,
233,About Schmidt belongs to Nicholson .,3,train,
234,"You can see the would-be surprises coming a mile away , and the execution of these twists is delivered with a hammer .",2,train,
235,"In its understanding , often funny way , it tells a story whose restatement is validated by the changing composition of the nation .",3,train,
236,Unfolds in a series of achronological vignettes whose cumulative effect is chilling .,3,train,
237,"... a spoof comedy that carries its share of laughs -- sometimes a chuckle , sometimes a guffaw and , to my great pleasure , the occasional belly laugh .",4,train,
238,So purely enjoyable that you power not even notice it 's a fairly straight redo of hollywood comedies such as Father of the Bride .,3,train,146.0
239,"Exhilarating , funny and fun .",4,train,
240,"However , it 's pleasant enough and its ecological , pro-wildlife sentiments are certainly welcome .",3,train,
241,"As it stand , there 's some delicately sex onscreen , and some tense debate , but not a altogether lot more .",2,train,5975.0
242,than fresh .,1,train,8512.0
243,"But the talented cast alone will keep you watching , as will the fight scenes .",4,train,
244,Like these guys their instead found their .,2,train,3377.0
245,"In its treatment of the dehumanizing and ego-destroying process of unemployment , Time Out offers an exploration that is more accurate than anything I have seen in an American film .",3,train,
246,... a sour little movie at its core ; an exploration of the emptiness that underlay the relentless gaiety of the 1920 's ... The film 's ending has a `` What was it all for ? '',0,train,
247,`` ( Hopkins ) does n't so much phone in his performance as fax it .,1,train,
248,"With uncommon snort , as with The Shipping News before it , an attempt is piddle to transplant a Hollywood starring into Newfoundland 's wild soil -- and The Rock once again resists the intrusion .",2,train,6241.0
249,"Alternately touching, raucously funny, annoying, and yes, even sexy, never more welcome and warm addition to the romantic comedy genre.",4,train,
250,"Ah , yes , that would be me : fighting off the urge to doze .",0,train,
251,"You 've already seen Marine City under different titles, but it is important, but one in s.",3,train,
252,"There 's some outrageously creative action in The Transporter ... ( b ) ut by the time Frank parachutes down onto a moving truck , it 's just another cartoon with an unstoppable superman .",1,train,
253,Would I see it again ?,2,train,
254,An unorthodox little film noir organized crime story that includes one of the strangest love stories you will ever see .,3,train,
255,"Yes , I suppose it 's lovely that Cal works out his issues with his dad and comes to terms with his picture-perfect life -- but World Traveler gave me no reason to care , so I did n't .",0,train,
256,"The April 2002 instalment of the American War for Independence , complete with loads of CGI and bushels of violence , but not a drop of human blood .",1,train,
257,De Niro cries .,2,train,
258,"The Four Feathers is definitely horse feathers , but if you go in knowing that , you might have fun in this cinematic sandbox .",3,train,
259,"axerophthol a feature-length celluloid , it wear off out its welcome as tryingly as the rubric character .",1,train,7433.0
260,Cox creates a fluid and mesmerizing sequence of images to match the words of Nijinsky 's diaries .,3,train,
261,"( Raimi 's ) matured quite a bit with Spider-Man , even though it 's one of the most plain white toast comic book films you 'll ever see .",2,train,
262,You have enough finely tuned acting to compensate for the movie 's failings .,2,train,
263,One gets the impression the creators of Do n't Ask Do n't Tell laughed a hell of a lot at their own jokes .,2,train,
264,"It 's something of the ultimate Scorsese film , with all the stomach-turning violence , colorful New York gang lore and other hallmarks of his personal cinema painted on their largest-ever historical canvas .",4,train,
265,You wo n't exactly know what 's happening but you 'll be blissfully exhausted .,2,train,
266,You ca n't believe anyone would really buy this stuff .,0,train,
267,Like leafing through an album of photos accompanied by the sketchiest of captions .,1,train,
268,"Highly irritating at first , Mr. Koury 's passive technique eventually begins to yield some interesting results .",2,train,
269,Hugely accomplished slice of Hitchcockian suspense .,3,train,
270,No amount of and disintegrating vampire cadavers obscure this movie 's lack of ideas .,1,train,4624.0
271,"comedy All is relationships , but this unrelenting subversive insistence on bleak opportunity of any out for finding meaning in opting or work just becomes sad .",0,train,1431.0
272,The script suffers from flat and low budget.,1,train,
273,Do we really need another film that praises female self-sacrifice ?,1,train,
274,"An unremarkable , modern action/comedy buddy movie whose only nod to nostalgia is in the title .",2,train,
275,This long and relentlessly saccharine film is a clear case of preaching to the converted .,0,train,
276,It will break your heart many times over .,2,train,
277,"Too smart to ignore but a little too smugly superior to like , this could be a movie that ends up slapping its target audience in the face by shooting itself in the foot .",1,train,
278,"Lookin ' for sin , American-style ?",1,train,
279,"The real charm of this trifle is the deadpan comic face of its star , Jean Reno , who resembles Sly Stallone in a hot sake half-sleep .",2,train,
280,"A shame that Stealing Harvard is too busy getting in its own way to be anything but frustrating , boring , and forgettable .",0,train,
281,K 19 stays afloat as decent drama/action flick,3,train,
282,"The delicious trimmings ... arrive early and stay late , filling nearly every minute ... with a lighthearted glow , some impudent snickers , and a glorious dose of humankind 's liberating ability to triumph over a Scrooge or two .",4,train,
283,"Cold and scattered , Minority Report commands interest almost solely as an exercise in gorgeous visuals .",2,train,
284,`Enigma 'is the kind of historical drama attraction Hollywood seems to have given up in favor of war films sentimental vein del` When we were soldiers. ',2,train,
285,"Evokes a tangible sensory faculty of gulf , made all the more affecting by the incessant use of cell phones .",3,train,331.0
286,Elvira fans could hardly ask for more .,4,train,
287,"The Quiet American is n't a bad film , it 's just one that could easily wait for your pay per view dollar .",1,train,
288,but not without sleazy sport ingredient .,3,train,6303.0
289,Viveka Seldahl and Sven Wollter will touch you to the core in a film you will never forget -- that you should never forget .,4,train,
290,-- that the ` true story ' by which All the Queen 's Men is allegedly `` inspired '' was a lot funnier and more deftly enacted than what 's been cobbled together onscreen .,1,train,
291,... a delicious crime drama on par with the slickest of Mamet .,4,train,
292,"Although Disney follows its standard formula in this animated adventure , it feels more forced than usual .",1,train,
293,"Don Michael Paul uses quick-cuts , ( very ) large shadows and wide-angle shots taken from a distance to hide the liberal use of a body double ( for Seagal ) .",2,train,
294,An enjoyable feel-good family comedy regardless of race .,3,train,
295,Sensitive ensemble performances and good period reconstruction add up to a moving tragedy with some buoyant human moments .,4,train,
296,`` ... something appears to have been lost in the translation this time .,0,train,
297,The Master of Disguise represents Adam Sandler 's latest attempt to dumb down the universe .,1,train,
298,Boring and meandering .,0,train,
299,With its parade of almost perpetually wasted characters ... Margarita feels like a hazy high that takes too long to shake .,1,train,
300,"At once subtle and visceral , the film never succumbs to the trap of the maudlin or tearful , offering instead with its unflinching gaze a measure of faith in the future .",4,train,
301,It's not only in fairy tales that live happily ever after princesses to marry for political reasons.,1,train,
302,"Though the aboriginal aspect lends the ending an extraordinary poignancy , and the story itself could be played out in any working class community in the nation .",3,train,
303,"Like fish that has lived too long, Austin Powers in Goldmember, there are some unnecessary parts, and it's kinda wrong places.",1,train,
304,"Circuit queens wo n't learn a thing , they 'll be too busy cursing the film 's strategically placed white sheets .",2,train,
305,Imperfect ?,1,train,
306,I 'm giving it thumbs down due to the endlessly repetitive scenes of embarrassment .,1,train,
307,"A finely tuned mood piece , a model of menacing atmosphere .",4,train,
308,Plotless collection moronic stunts is by far the worst movie of the year.,0,train,
309,"( Kline 's ) utterly convincing -- and deeply appealing -- as a noble teacher who embraces a strict moral code , and as a flawed human being who ca n't quite live up to it .",4,train,
310,"Payne built a hilarious ode to the US and middle age with this unlikely adventure, featuring a pathetic, endearing heroes are all too human.",3,train,
311,"An overly familiar scenario is create fresh by an intelligent screenplay and grapple functioning in this low budget , video-shot , debut indie effort .",3,train,2614.0
312,... too contrived to be as naturally charming as it needs to be .,1,train,
313,By the time the cast is no lack.,2,train,
314,The directive to protect the code at all costs also begins to blur as the importance of the man and the code merge,2,train,
315,George Lucas will return as a visionary tale full of nuance and character dimensions.,3,train,
316,works .,3,train,8259.0
317,dig director Robert J. Siegel and his co-writers celebrate the storey subtle and the states in suspense .,3,train,3336.0
318,Journalistically dubious inept dull,0,train,4242.0
319,"Except for Paymer as the boss who ultimately expresses empathy for Bartleby 's pain , the performances are so stylized as to be drained of human emotion .",2,train,
320,This romantic drama is top notch capability.,4,train,
321,"The only to tolerate this insipid , clueless film might be with dose of painkillers",0,train,5347.0
322,"When it 's this rich and luscious , who cares ?",3,train,
323,"A tone of rueful compassion ... reverberates throughout this film , whose meaning and impact is sadly heightened by current world events .",3,train,
324,A true-blue delight .,4,train,
325,An extraordinarily silly thriller .,2,train,
326,"This charming but slight tale has warmth , wit and interesting characters compassionately portrayed .",3,train,
327,"An entertaining , if somewhat standardized , action movie .",3,train,
328,Even 's comic timing and famed charisma n't rescue effort .,1,train,6971.0
329,"One senses in World Traveler and in his earlier film that Freundlich bears a grievous but obscure complaint against fathers , and circles it obsessively , without making contact .",1,train,
330,It 's always enthralling .,4,train,
331,Do we really need the Tiger Beat version ?,1,train,
332,"Payne a created has beautiful canvas that and Nicholson brush once again , he . the 's proves in the business best",4,train,1245.0
333,"Best of all is Garcia , who perfectly portrays the desperation of a very insecure man .",4,train,
334,"Much of it is funny , but there are also some startling , surrealistic moments ...",3,train,
335,"The action here is unusually tame , the characters are too simplistic to maintain interest , and the plot offers few surprises .",1,train,
336,And it 's a lousy one at that .,0,train,
337,"The unique niche of self-critical , behind the scenes navel-gazing george simon kaufman has carven from Orleans ' story and his own infinite insecurity is a piece of work of outstanding originality .",4,train,3486.0
338,A funny film .,3,train,
339,For single digits kidlets Stuart Little 2 is still a no brainer.,2,train,
340,It squanders Chan 's uniqueness ; it could even be said to squander Jennifer Love Hewitt !,1,train,
