,ArticleTitle,Question,Answer,DifficultyFromQuestioner,DifficultyFromAnswerer,ArticleFile
168,beetle,How can beetle larvae be differentiated from other insect larvae?,"their hardened, often darkened head, the presence of chewing mouthparts, and spiracles along the sides of the body",hard,medium,data/set1/a8
169,beetle,How can beetle larvae be differentiated from other insect larvae?,"By their hardened, often darkened head, the presence of chewing mouthparts, and spiracles along the sides of the body",hard,medium,data/set1/a8
170,beetle,What do beetles eat?,"Some are generalists, eating both plants and animals. Other beetles are highly specialised in their diet.",hard,hard,data/set1/a8
171,beetle,What do beetles eat?,"They often feed on plants and fungi, break down animal and plant debris, and eat other invertebrates",hard,hard,data/set1/a8
172,beetle,What are the similarities between beetles and grasshoppers?,mouthparts,hard,medium,data/set1/a8
173,beetle,What are the similarities between beetles and grasshoppers?,Beetles have mouthparts similar to those of grasshoppers,hard,hard,data/set1/a8
174,beetle,Are certain species of beetles considered pests?,Yes,easy,easy,data/set1/a8
175,beetle,Are certain species of beetles considered pests?,yes,easy,easy,data/set1/a8
176,beetle,Is a beetle's general anatomy uniform?,Yes,easy,medium,data/set1/a8
177,beetle,Is a beetle's general anatomy uniform?,yes,easy,easy,data/set1/a8
178,beetle,Are beetles endopterygotes?,yes,easy,easy,data/set1/a8
179,beetle,Are beetles endopterygotes?,yes,easy,easy,data/set1/a8
180,beetle,How many species of beetles are there?,"350,000",medium,medium,data/set1/a8
181,beetle,How many species of beetles are there?,"about 350,000",medium,medium,data/set1/a8
182,beetle,When are sperm cells transferred to the female?,during pairing,medium,hard,data/set1/a8
183,beetle,When are sperm cells transferred to the female?,During pairing,medium,medium,data/set1/a8
184,beetle,What is the study of beetles called?,coleopterology,medium,medium,data/set1/a8
185,beetle,What is the study of beetles called?,coleopterology,medium,medium,data/set1/a8
186,beetle,"Is it possible that there are more than 350,000 species of beetles?",yes,hard,hard,data/set1/a8
187,beetle,"Is it possible that there are more than 350,000 species of beetles?",yes,hard,hard,data/set1/a8
188,beetle,Is the Adephaga suborder larger than the Polyphaga suborder?,no,hard,hard,data/set1/a8
189,beetle,Is the Adephaga suborder larger than the Polyphaga suborder?,yes,hard,hard,data/set1/a8
190,beetle,Do carrion beetles eat dung?,no,hard,medium,data/set1/a8
191,beetle,Do carrion beetles eat dung?,no,hard,hard,data/set1/a8
204,Calvin_Coolidge,Was Calvin Coolidge the twenty-ninth vice president?,no,easy,easy,data/set3/a9
205,Calvin_Coolidge,Was Calvin Coolidge the twenty-ninth vice president?,Yes,easy,easy,data/set3/a9
206,Calvin_Coolidge,"Was Calvin Coolidge born in Plymouth, Windsor County, Vermont?",yes,easy,easy,data/set3/a9
207,Calvin_Coolidge,"Was Calvin Coolidge born in Plymouth, Windsor County, Vermont?",Yes,easy,easy,data/set3/a9
208,Calvin_Coolidge,Did Coolidge graduate from Black River Academy?,yes,easy,easy,data/set3/a9
209,Calvin_Coolidge,Did Coolidge graduate from Black River Academy?,Yes,easy,easy,data/set3/a9
210,Calvin_Coolidge,When did he drop John from his name?,upon graduating from college,medium,medium,data/set3/a9
211,Calvin_Coolidge,When did he drop John from his name?,Upon graduating from college,medium,medium,data/set3/a9
212,Calvin_Coolidge,When did Coolidge meet and marry Grace Anna Goodhue?,1905,medium,medium,data/set3/a9
213,Calvin_Coolidge,When did Coolidge meet and marry Grace Anna Goodhue?,In 1905,medium,medium,data/set3/a9
214,Calvin_Coolidge,What period of rapid economic growth did the United States experience during Coolidge's presidency?,the Roaring Twenties,medium,medium,data/set3/a9
215,Calvin_Coolidge,What period of rapid economic growth did the United States experience during Coolidge's presidency?,"the ""Roaring Twenties""",medium,medium,data/set3/a9
216,Calvin_Coolidge,What did Coolidge do after graduating from Amherst?,"Coolidge moved to Northampton, Massachusetts",hard,medium,data/set3/a9
217,Calvin_Coolidge,What did Coolidge do after graduating from Amherst?,"Coolidge moved to Northampton, Massachusetts to take up the practice of law",hard,medium,data/set3/a9
218,Calvin_Coolidge,Of what state was Coolidge governor?,Massachusetts,hard,medium,data/set3/a9
219,Calvin_Coolidge,Who appointed Harlan Fiske Stone to the Supreme Court?,Coolidge,hard,medium,data/set3/a9
220,Calvin_Coolidge,Who appointed Harlan Fiske Stone to the Supreme Court?,Coolidge,hard,hard,data/set3/a9
221,Calvin_Coolidge,Was Coolidge the thirteenth President of the United States?,No,easy,easy,data/set3/a9
222,Calvin_Coolidge,Was Coolidge the thirteenth President of the United States?,Yes,easy,easy,data/set3/a9
223,Calvin_Coolidge,Was Calvin Coolidge Republican?,Yes,easy,easy,data/set3/a9
224,Calvin_Coolidge,Was Calvin Coolidge Republican?,Yes,easy,easy,data/set3/a9
225,Calvin_Coolidge,Was Calvin Coolidge a governor of Massachusetts?,Yes,easy,medium,data/set3/a9
226,Calvin_Coolidge,Was Calvin Coolidge a governor of Massachusetts?,Yes,easy,medium,data/set3/a9
227,Calvin_Coolidge,When was Coolidge born?,July 4 1872,medium,medium,data/set3/a9
228,Calvin_Coolidge,When was Coolidge born?,"Plymouth, Windsor County, Vermont",medium,easy,data/set3/a9
229,Calvin_Coolidge,Where did Coolidge's grandfather had government offices?,Plymouth,medium,medium,data/set3/a9
230,Calvin_Coolidge,Where did Coolidge's grandfather had government offices?,The town of Plymouth Notch,medium,hard,data/set3/a9
231,Calvin_Coolidge,Which state were Coolidge born in?,"Plymouth, Windsor County, Vermont",medium,medium,data/set3/a9
232,Calvin_Coolidge,Which state were Coolidge born in?,Vermont,medium,medium,data/set3/a9
233,Calvin_Coolidge,Is Calvin Jr. older than John Coolidge?,No,hard,hard,data/set3/a9
234,Calvin_Coolidge,Is Calvin Jr. older than John Coolidge?,No,hard,hard,data/set3/a9
235,Calvin_Coolidge,Did Coolidge get in Amherst College?,Yes,hard,medium,data/set3/a9
236,Calvin_Coolidge,Did Coolidge get in Amherst College?,Yes,hard,hard,data/set3/a9
237,Calvin_Coolidge,What caused Calvin Jr.'s death?,heart attack,hard,hard,data/set3/a9
238,Calvin_Coolidge,What caused Calvin Jr.'s death?,Heart attack,hard,easy,data/set3/a9
239,Calvin_Coolidge,Was John Calvin Coolidge Jr. was born in Las Vegas?,No,easy,easy,data/set3/a9
240,Calvin_Coolidge,Was John Calvin Coolidge Jr. was born in Las Vegas?,no,easy,easy,data/set3/a9
241,Calvin_Coolidge,Was Coolidge opposed in the Republican nomination for Governor of Massachusetts in 1918?,Yes,easy,medium,data/set3/a9
242,Calvin_Coolidge,Was Coolidge opposed in the Republican nomination for Governor of Massachusetts in 1918?,no,easy,hard,data/set3/a9
243,Calvin_Coolidge,Did Coolidge meet and marry Grace Anna Goodhue?,Yes,easy,easy,data/set3/a9
244,Calvin_Coolidge,Did Coolidge meet and marry Grace Anna Goodhue?,yes,easy,easy,data/set3/a9
245,Calvin_Coolidge,What year did Coolidge open his own law office?,1898,medium,medium,data/set3/a9
246,Calvin_Coolidge,What year did Coolidge open his own law office?,1898,medium,easy,data/set3/a9
247,Calvin_Coolidge,What fraternity was Coolidge a member of?,Phi Gamma Delta,medium,medium,data/set3/a9
248,Calvin_Coolidge,What fraternity was Coolidge a member of?,phi gamma delta,medium,medium,data/set3/a9
249,Calvin_Coolidge,In 1905 Coolidge met and married whom?,Grace Anna Goodhue,medium,medium,data/set3/a9
250,Calvin_Coolidge,In 1905 Coolidge met and married whom?,Grace Anna Goodhue,medium,medium,data/set3/a9
251,Calvin_Coolidge,Why did Coolidge not attend law school?,It was too expensive,hard,hard,data/set3/a9
252,Calvin_Coolidge,Why did Coolidge not attend law school?,cost,hard,too hard,data/set3/a9
253,Calvin_Coolidge,Have there been other US presidents that have visited Cuba?,No,hard,medium,data/set3/a9
254,Calvin_Coolidge,Have there been other US presidents that have visited Cuba?,no,hard,medium,data/set3/a9
255,Calvin_Coolidge,What years were Coolidge's two sons born in?,1906 and 1908,hard,medium,data/set3/a9
256,Calvin_Coolidge,What years were Coolidge's two sons born in?,1906 and 1908,hard,medium,data/set3/a9
281,Canada,Did France cede nearly all of its colonies in Europe in 1763?,Yes.,easy,easy,data/set2/a8
282,Canada,Did France cede nearly all of its colonies in Europe in 1763?,yes,easy,easy,data/set2/a8
284,Canada,Is Canada a member of the OECD?,Yes.,easy,easy,data/set2/a8
285,Canada,Is Canada a member of the OECD?,yes,easy,easy,data/set2/a8
287,Canada,Is Canada's official language Zulu?,No.,easy,easy,data/set2/a8
288,Canada,Is Canada's official language Zulu?,no,easy,easy,data/set2/a8
290,Canada,What is one significant non-official language?,Chinese.,medium,medium,data/set2/a8
291,Canada,What is one significant non-official language?,Chinese,medium,medium,data/set2/a8
293,Canada,"In addition to Port Royal, where else did Samuel de Champlain establish a settlement?",Quebec City,medium,medium,data/set2/a8
295,Canada,What was the Consitution Act formerly called?,The British North America Act.,medium,hard,data/set2/a8
296,Canada,What was the Consitution Act formerly called?,British North America Act,medium,medium,data/set2/a8
298,Canada,Which countries established colonies in Canada?,France and Britain.,hard,hard,data/set2/a8
299,Canada,Which countries established colonies in Canada?,Fance and Britain,hard,hard,data/set2/a8
301,Canada,How has Canada helped UN peacekeeping efforts?,"During the Suez Crisis of 1956, Lester B. Pearson eased tensions by proposing the inception of the United Nations Peacekeeping Force. Canada has since served in 50 peacekeeping missions, including every UN peacekeeping effort until 1989",hard,medium,data/set2/a8
302,Canada,How has Canada helped UN peacekeeping efforts?,"Canada has played a leading role in UN peacekeeping efforts. During the Suez Crisis of 1956, Lester B. Pearson eased tensions by proposing the inception of the United Nations Peacekeeping Force. Canada has since served in 50 peacekeeping missions, including every UN peacekeeping effort until 1989",hard,hard,data/set2/a8
304,Canada,What percentage of the population don't speak English or French at home?,28%,hard,too hard,data/set2/a8
305,Canada,What percentage of the population don't speak English or French at home?,1.5%,hard,hard,data/set2/a8
307,Canada,Is Canada bilingual?,Yes.,easy,easy,data/set2/a8
308,Canada,Is Canada bilingual?,"Yes, it is.",easy,easy,data/set2/a8
309,Canada,Did Canadian soldiers win the Battle of Vimy Ridge in 1917?,Yes,easy,easy,data/set2/a8
310,Canada,Did Canadian soldiers win the Battle of Vimy Ridge in 1917?,"No, it did not.",easy,hard,data/set2/a8
311,Canada,Is an official language of Canada German?,No.,easy,easy,data/set2/a8
312,Canada,Is an official language of Canada German?,"No, it is not.",easy,easy,data/set2/a8
313,Canada,How many provinces and territories does Canada have?,A federation now comprising ten provinces and three territories,medium,medium,data/set2/a8
314,Canada,How many provinces and territories does Canada have?,Ten provinces and three territories,medium,medium,data/set2/a8
315,Canada,What is Canada's national unemployment rate?,"While as of October 2007, Canada's national unemployment rate of 5.9% is its lowest in 33 years. Provincial unemployment rates vary from a low of 3.6% in Alberta to a high of 14.6% in Newfoundland and Labrador. ",medium,medium,data/set2/a8
316,Canada,What is Canada's national unemployment rate?,"In October 2007, Canada's national unemployment rate is 5.9%.",medium,medium,data/set2/a8
317,Canada,Where is the most densely populated part of Canada?,The most densely populated part of the country is the Quebec City-Windsor Corridor along the Great Lakes and Saint Lawrence River in the southeast.,medium,medium,data/set2/a8
318,Canada,Where is the most densely populated part of Canada?,The most densely populated part of the country is the Quebec City-Windsor Corridor along the Great Lakes and Saint Lawrence River in the southeast.,medium,medium,data/set2/a8
319,Canada,What is the largest country in the world?,"Canada is the second largest country in the world, after Russia, and largest on the continent.",hard,medium,data/set2/a8
320,Canada,What is the largest country in the world?,Russia.,hard,hard,data/set2/a8
321,Canada,What is the largest religious group in Canada?,"According to 2001 census, 77.1% of Canadians identified as being Christians; of this, Catholics make up the largest group (43.6% of Canadians). The largest Protestant denomination is the United Church of Canada; about 16.5% of Canadians declare no religious affiliation, and the remaining 6.3% were affiliated with religions other than Christianity, of which the largest is Islam numbering 1.9%, followed by Judaism: 1.1%. ",hard,hard,data/set2/a8
322,Canada,What is the largest religious group in Canada?,Christian,hard,hard,data/set2/a8
323,Canada,When did Canada have one of the largest armed forces in the world?,1944.,hard,hard,data/set2/a8
324,Canada,When did Canada have one of the largest armed forces in the world?,World War II.,hard,hard,data/set2/a8
341,duck,Are ducks in the Arctic Northern Hemisphere migratory?,Some are,easy,medium,data/set1/a10
342,duck,Are ducks in the Arctic Northern Hemisphere migratory?,yes,easy,easy,data/set1/a10
343,duck,Is a drake a male?,Yes,easy,medium,data/set1/a10
344,duck,Is a drake a male?,yes,easy,easy,data/set1/a10
345,duck,"Do all ducks ""quack""?",No,easy,medium,data/set1/a10
346,duck,"Do all ducks ""quack""?",no,easy,easy,data/set1/a10
347,duck,What is the name of a specialized species of duck adapted to catch large fish?,the smew,medium,medium,data/set1/a10
348,duck,What animal attracts the most humor and silliness?,The duck,medium,medium,data/set1/a10
349,duck,What animal attracts the most humor and silliness?,the duck,medium,medium,data/set1/a10
350,duck,What is an economic use of a duck?,Meat,medium,medium,data/set1/a10
351,duck,What is an economic use of a duck?,being farmed for their meat,medium,medium,data/set1/a10
352,duck,Who is Daffy Duck?,A silly cartoon character,hard,hard,data/set1/a10
353,duck,Who is Daffy Duck?,a silly cartoon character,hard,medium,data/set1/a10
354,duck,What makes it more difficult for a diving duck to fly?,They are heavier,hard,hard,data/set1/a10
355,duck,What makes it more difficult for a diving duck to fly?,they are heavier,hard,hard,data/set1/a10
356,duck,What are the reasons for hunting wild ducks?,"Meat, eggs, and feathers",hard,too hard,data/set1/a10
357,duck,Do ducks forage underwater?,yes,easy,easy,data/set1/a10
358,duck,Do ducks forage underwater?,Diving ducks and sea ducks forage underwater,easy,hard,data/set1/a10
359,duck,"Do all ducks ""quack""?",no,easy,medium,data/set1/a10
360,duck,"Do all ducks ""quack""?",No,easy,easy,data/set1/a10
361,duck,Is foie gras often made from ducks?,yes,easy,easy,data/set1/a10
362,duck,Is foie gras often made from ducks?,Yes,easy,easy,data/set1/a10
363,duck,What economic uses to ducks have?,"They are farmed for their meat, eggs and feathers. They are also kept and bred by aviculturists and often displayed in zoos.",medium,medium,data/set1/a10
364,duck,What economic uses to ducks have?,"They can be farmed for meat, eggs, and feathers",medium,hard,data/set1/a10
365,duck,What kind of ducks feed on land?,Dabbling ducks,medium,easy,data/set1/a10
366,duck,What kind of ducks feed on land?,Dabbling ducks feed on land,medium,medium,data/set1/a10
367,duck,What unrelated water birds are ducks sometimes confused with?,"loons or divers, grebes, gallinules, and coots",medium,easy,data/set1/a10
368,duck,What unrelated water birds are ducks sometimes confused with?,"loons or divers, grebes, gallinules, and coots",medium,medium,data/set1/a10
369,duck,What does the word duck mean?,It is the common name for a number of species in the Anatidae family of birds.,hard,hard,data/set1/a10
370,duck,What does the word duck mean?,to bend down low as if to get under something,hard,hard,data/set1/a10
371,duck,What are some common predators of ducks?,"Pike, crocodilians, herons, hawks and eagles.",hard,hard,data/set1/a10
372,duck,What are some common predators of ducks?,"pike, crocodilians, and other aquatic hunters",hard,hard,data/set1/a10
373,duck,How does a Mallard's tongue work?,"It's tongue is a flat plate, and on the tongue's back end is a short liftable flap with about 18 short spikes for pushing struggling prey and other food down its throat",hard,hard,data/set1/a10
374,duck,How does a Mallard's tongue work?,It uses short spikes to push struggling prey and other food down its throat,hard,hard,data/set1/a10
375,duck,Are diving ducks heavier tha dabbling ducks?,Yes,easy,easy,data/set1/a10
376,duck,Are diving ducks heavier tha dabbling ducks?,Yes,easy,easy,data/set1/a10
377,duck,Are adult ducks fast fliers?,Yes,easy,easy,data/set1/a10
378,duck,Are adult ducks fast fliers?,Yes,easy,easy,data/set1/a10
379,duck,Are ducks an accepted presence in some populated areas?,Yes,easy,easy,data/set1/a10
380,duck,Are ducks an accepted presence in some populated areas?,Yes,easy,easy,data/set1/a10
381,duck,What types of unrelated water birds with similar forms are ducks sometimes confused with?,"loons or divers, grebes, gallinules, and coots",medium,medium,data/set1/a10
382,duck,What types of unrelated water birds with similar forms are ducks sometimes confused with?,"loons or divers, grebes, gallinules, and coots",medium,medium,data/set1/a10
383,duck,Why are ducklings particularly vulnerable?,Their inability to fly.,medium,medium,data/set1/a10
384,duck,Why are ducklings particularly vulnerable?,their inability to fly makes them easy prey,medium,medium,data/set1/a10
385,duck,What are some economic uses for duck?,"Meat,eggs,feathers",medium,medium,data/set1/a10
386,duck,What are some economic uses for duck?,"being farmed for their meat, eggs, feathers, (particularly their down)",medium,medium,data/set1/a10
387,duck,What allows a duck to filter water out of the side of their beaks and keep food inside?,Tiny rows of plates called lamellae,hard,hard,data/set1/a10
388,duck,What allows a duck to filter water out of the side of their beaks and keep food inside?,tiny rows of plates called lamellae like a whale's baleen,hard,hard,data/set1/a10
389,duck,What expression is part of a conceptual framework for testing computer systems?,Quacks like a duck,hard,hard,data/set1/a10
390,duck,What expression is part of a conceptual framework for testing computer systems?,Quacks like a duck,hard,hard,data/set1/a10
391,duck,"Where did the expression ""a sitting duck"" come from?","In many areas, wild duckof various species (including ducks farmed and released into the wild) are hunted for food or sport, by shooting, or formerly by decoys.",hard,hard,data/set1/a10
392,duck,"Where did the expression ""a sitting duck"" come from?","In many areas, wild ducks of various species (including ducks farmed and released into the wild) are hunted for food or sport, by shooting, or formerly by decoys.",hard,hard,data/set1/a10
393,Egypt,Is Egypt bordered by the Gaza Strip?,yes,easy,easy,data/set2/a6
394,Egypt,Is Egypt bordered by the Gaza Strip?,Yes,easy,medium,data/set2/a6
395,Egypt,Is Egypt the most populated country in Africa?,no,easy,medium,data/set2/a6
396,Egypt,Is Egypt the most populated country in Africa?,No,easy,easy,data/set2/a6
397,Egypt,Does Egypt have political influence in the Middle East?,yes,easy,easy,data/set2/a6
398,Egypt,Does Egypt have political influence in the Middle East?,Yes,easy,medium,data/set2/a6
399,Egypt,When was the Six Day War?,1967,medium,easy,data/set2/a6
400,Egypt,When was the Six Day War?,1967,medium,medium,data/set2/a6
401,Egypt,What religions has Egypt outlawed?,"All but Christianity, Islam, and Judaism",medium,hard,data/set2/a6
402,Egypt,What religions has Egypt outlawed?,"all religions and belief except Islam, Christianity and Judaism",medium,medium,data/set2/a6
403,Egypt,What is the poulation of Egypt?,more than 78 million,medium,easy,data/set2/a6
404,Egypt,What is the poulation of Egypt?,78 million people,medium,hard,data/set2/a6
405,Egypt,Why does most of Egypt's population live near the Nile?,"the only arable agricultural land is found there,",hard,medium,data/set2/a6
406,Egypt,Why does most of Egypt's population live near the Nile?,The only arable agricultural land is found there,hard,hard,data/set2/a6
407,Egypt,Are there a large number of Jews living in Egypt today?,no,hard,medium,data/set2/a6
408,Egypt,Are there a large number of Jews living in Egypt today?,No,hard,hard,data/set2/a6
409,Egypt,During what period was Akhenaten a Pharaoh?,The New Kingdom (c.1550&#8722;1070 BC) ,hard,hard,data/set2/a6
410,Egypt,During what period was Akhenaten a Pharaoh?,The New Kingdom,hard,hard,data/set2/a6
411,Egypt,Is Egypt in Asia?,No.,easy,easy,data/set2/a6
412,Egypt,Does Egypt receive the least rainfall in the world?,Yes.,easy,easy,data/set2/a6
413,Egypt,Does Egypt receive the least rainfall in the world?,Yes,easy,easy,data/set2/a6
414,Egypt,Does Egypt's foreign policy operates along moderate lines?,Yes.,easy,easy,data/set2/a6
415,Egypt,Does Egypt's foreign policy operates along moderate lines?,Yes,easy,easy,data/set2/a6
416,Egypt,Since when has Egypt been a republic?,June 18 1953.,medium,medium,data/set2/a6
417,Egypt,Since when has Egypt been a republic?,June 18 1953,medium,medium,data/set2/a6
418,Egypt,When were the Great Sphinx and the Pyramids of Giza built?,During the Old Kingdom.,medium,medium,data/set2/a6
419,Egypt,When were the Great Sphinx and the Pyramids of Giza built?,During the Old Kingdom,medium,medium,data/set2/a6
420,Egypt,What countries border Egypt?,"Libya, Sudan, the Gaza Strip and Israel.",medium,hard,data/set2/a6
421,Egypt,What countries border Egypt?,"Libya, Sudan, the Gaza Strip and Israel",medium,hard,data/set2/a6
422,Egypt,What is the estimated population of Egypt?,More than 78 million.,hard,hard,data/set2/a6
423,Egypt,What is the estimated population of Egypt?,78 million,hard,hard,data/set2/a6
424,Egypt,Does snow fall in Egypt?,Yes.,hard,hard,data/set2/a6
425,Egypt,Does snow fall in Egypt?,Yes,hard,hard,data/set2/a6
426,Egypt,When did organized agriculture appear in the Nile Valley?,6000 BC.,hard,medium,data/set2/a6
427,Egypt,When did organized agriculture appear in the Nile Valley?,About 6000 BC,hard,medium,data/set2/a6
428,elephant,Are elephants the largest land animals alive today?,yes,easy,easy,data/set1/a5
429,elephant,Are elephants the largest land animals alive today?,yes,easy,easy,data/set1/a5
430,elephant,Can an elephant kill a rhinoceros?,yes,easy,hard,data/set1/a5
431,elephant,Can an elephant kill a rhinoceros?,yes,easy,easy,data/set1/a5
432,elephant,Are elephants good swimmers?,yes,easy,easy,data/set1/a5
433,elephant,Are elephants good swimmers?,yes,easy,easy,data/set1/a5
434,elephant,How many living species of African Elephants are there?,2,medium,hard,data/set1/a5
435,elephant,How many living species of African Elephants are there?,"The African Elephant genus contains two (or, arguably, three) living species.",medium,medium,data/set1/a5
436,elephant,How long may elephants live?,70 years,medium,medium,data/set1/a5
437,elephant,How long may elephants live?,"As long as 70 years, sometimes longer.",medium,medium,data/set1/a5
438,elephant,Why does the phrase 'elephants never forget' have no metaphorical meaning?,it refers literally to elephants supposedly having an excellent memory,medium,hard,data/set1/a5
439,elephant,Why does the phrase 'elephants never forget' have no metaphorical meaning?,Because it refers literally to elephants supposedly having an excellent memory.,medium,medium,data/set1/a5
440,elephant,How many living species of Asian Elephants are there?,1,hard,hard,data/set1/a5
441,elephant,How many living species of Asian Elephants are there?,one,hard,medium,data/set1/a5
442,elephant,How much do elephants weight at birth?,120 kilograms,hard,medium,data/set1/a5
443,elephant,How much do elephants weight at birth?,At birth it is common for an elephant calf to weigh 120 kilograms (265 lb).,hard,medium,data/set1/a5
444,elephant,What did Aristotle say about elephants?,the beast which passeth all others in wit and mind,hard,hard,data/set1/a5
445,elephant,What did Aristotle say about elephants?,"Aristotle once said the elephant was ""the beast which passeth all others in wit and mind.""",hard,medium,data/set1/a5
446,elephant,Are elephant populations in West Africa generally small and fragmented?,yes,easy,easy,data/set1/a5
