,tweets,labels
108,American kid You re from the UK Ohhh cool So do you have tea with the Queen . British kid Do you like go to Mcdonalds with Obama,0
431,WhatsRomneyHiding the fact that REAL unemployment is at 19 ... Oh wait that s Obama not Romney...,1
244,OBAMA Follows The Quran gt Muslims can Lie to the Infidel US to Get achieve His Goals gt Destruction of the West gt tcot p2 ocra dem tlot,0
362,Why Did Obama Invite Al Sharpton to Easter Prayer Breakfast But Not Southern Baptist Leaders Zgsh2zyo via,0
1290,KeC3MhTg,0
368,With all the truth that has been exposed about the Obama Administration you have to wonder why any Americans in... 1Pso0ULz,0
15,American kid You re from the UK Ohhh cool So do you have tea with the Queen . British kid Do you like go to Mcdonalds with Obama,0
638,Bush TARP bailout hated Taxpayer moneymaker. Obama solar company bailouts not as hated taxpayer loss What s wrong here,0
741,WhatsRomneyHiding His college records... Oh wait that s Obama.,0
870,Obama s Budget Interest Payments Will Exceed Defense Budget in 2019 The Weekly Standard,2
391,Obama signs JOBS Act to boost startup firms SELMj7zZ,1
1067,BAUROUue,0
513,Katrina I just seen the HBO documentary hot coffee.I feel so upset we need four more years of President Obama 1000 certtain,0
352,Congratulations to Mitt Ro... krM3IuSt,1
857,not to start an argument but when did Obama disrespect religious freedom,0
605,I heard there is a gay porn titled Obama Been Slobbin ....now think about who Obama killed in Pakistan,0
941,Gas over 4 Gal in my neighborhood today. Thanks Obama FireObama DrillHereDrillNow Oil NatGas PickensPlan NGVs NkIYIkj1,0
1207,WhatsRomneyHiding Obama s Communist membership card along with all Obama s college papers birth certificate real social sec.card tcot,1
743,AT a campaign fundraiser tonight Pres. Obama again denounced Mitt Romney by name for his support of the House passed GOP Budget.,1
423,American kid You re from the UK Ohhh cool So do you have tea with the Queen . British kid Do you like go to Mcdonalds with Obama,0
459,AT a campaign fundraiser tonight Pres. Obama again denounced Mitt Romney by name for his support of the House passed GOP Budget.,1
425,Arianna Huffington blasting President Obama at any chance and praising GOP. This pic explains things. Ov6I5CoS,1
585,WhatsRomneyHiding OBAMA wants to come out of the closet but Mitt wants to wait until after Elections GOP tcot,0
341,American kid You re from the UK Ohhh cool So do you have tea with the Queen . British kid Do you like go to Mcdonalds with Obama,0
159,AT a campaign fundraiser tonight Pres. Obama again denounced Mitt Romney by name for his support of the House passed GOP Budget.,1
1191,Saul says Pres Obama will do anything to distract Americans from his failed economic record incl unemployment higher gas prices.,1
318,Obama signaled US would accept Iranian civilian nuclear program if Khamenei back up claim Iran will not pursue nuk...,1
1062,Not good for the D Party. wJVdoGyI,1
1216,It s a sorry state of affairs when the US President menaces other branches of government. Obama mocks and menaces like governing is sport.,0
72,newbedon 4 6 2012 4 27 33 AM Obama Wins Landslide Presidential Election...With Online Gamers L5xqNFfD,0
116,I can t wait until Romney goes after Obama on NDAA. Oh wait.,0
914,62 of U.S. Jews would reelect Obama 4 say Israel is most important issue Haaretz kJdeKfKg YuBShHrj,1
293,Obama is a puppet for America. There s more to his face and words.,0
703,Righties call Pres. Obama a thug and bully for comments on health care law hearings. Comment on FB or tweet so we can share on edshow,0
864,Background on ex CIA officer John Kiriakou who Obama admin just indicted 4 allegedly leaking info re torture program ySzwNRxV,0
837,In 2004 he released his autobiography My Life and was involved in his wife s and then Barack Obama s campaigns for president in 2008,0
70,Obama is a great president. He s honest loyal friends smart and wants the BEST for EVERYONE in this country not just the rich.,2
257,Like the questions the liberal media gives Obama.,1
410,It s incredible that something like WhatsRomneyHiding would be trending. Yet Obama is sneakiest harmful person and no one says anything.,0
577,Oh now I get it. Obama was talking in shorthand and we were just too dumb to understand how smart he really is. Gagme.,1
270,The Barack Obama Mitt Romney budget battle Ben White gb87afx1 via,1
25,WhatsRomneyHiding Obama s birth certificate.,0
396,The President of the United States Barack Obama is all that stands between the rights of the 99 the Party of Koch Norquist.,1
964,WhatsRomneyHiding His college records... Oh wait that s Obama.,0
1009,Obama has called the GOP budget social Darwinism. Nice try but they believe in social creationism.,1
1316,Obama s Signing Of JOBS Act Likely Won t Dim GOP C... President Obama s signing of the JOBS Act gives him one ... pWArEGsR,0
52,Barack Obama President Ronald Reagan s Initial Actions Project President Ronald Reagan was also facing an econo... 8Go8oCpf,0
721,En el backstage de los KCA s Harry le pregunto a Michelle Obama como hacia para ordenar pizza desde la Casa Blanca.,0
582,I am worried that Barack Obama is in bed with Iran.We know that he is leaking classified info on Israel plan.He is not on our side or Israel,0
765,Tell Obama And Dodd No Backroom Dealing No New SOPA Su79rpyv GFW FuckGFW VPN,0
163,Romney who has two Harvard degrees blasts Obama for spending too much time at Harvard. avbgNT57 icymi,0
454,AT a campaign fundraiser tonight Pres. Obama again denounced Mitt Romney by name for his support of the House passed GOP Budget.,1
660,American kid You re from the UK Ohhh cool So do you have tea with the Queen . British kid Do you like go to Mcdonalds with Obama,0
905,nAESlKQ9,0
1211,The new anti Obama slur from the RWNJ echo chamber is THUG So we ve decided to just let our racist bedsheets fly huh Interesting. GOP,0
421,Pres Obama says it ll be a big debate and a fun debate because he says he has the truth on his side.,1
461,Obama says Obamacare passed by strong majority of Congress Not a single GOP vote many Dems voted NO. He LIES AGAIN. tcot p2,0
825,Obama entrando en Skateboard y que si es real Sm9s2o9i LIKE A BOSS,1
565,Israel should trust Obama to stop Iran nukes S8YeopCr,1
314,One Direction Tolak Undangan Michelle Obama S8lPX0SZ Like it WIDZGjRj,0
376,American kid You re from the UK Ohhh cool So do you have tea with the Queen . British kid Do you like go to Mcdonalds with Obama,0
268,Obama signaled US would accept Iranian civilian nuclear program if Khamenei back up claim Iran will not pursue nukes svxFPoHq,1
860,White House Easter Egg Roll is Monday. Obama redistributing eggs. socialism,1
152,American kid You re from the UK Ohhh cool So do you have tea with the Queen . British kid Do you like go to Mcdonalds with Obama,0
440,American kid You re from the UK Ohhh cool So do you have tea with the Queen . British kid Do you like go to Mcdonalds with Obama,0
373,American kid You re from the UK Ohhh cool So do you have tea with the Queen . British kid Do you like go to Mcdonalds with Obama,0
128,A legislator who d never passed legislation. A law professor who d never published a law review article ... Is Obama fictional hhrs,0
759,Just as soon as obama releases ALL his records.,1
1014,Obama takes a swing at all male Augusta National LUw7Ky66,0
498,GOP is SO desperate and so Frightened of President Obama that they are suppressing votes in several states but it will cause them loss too.,0
499,we are warming up for 2016...,0
1238,Obama s snafu over Supreme Court s job duties give hint as to why he has locked all his college transcripts in Fort Knox. TCOT,1
363,American kid You re from the UK Ohhh cool So do you have tea with the Queen . British kid Do you like go to Mcdonalds with Obama,0
1026,Obama takes a swing at all male Augusta National LUw7Ky66,0
333,Obey Obama still not satisfied with the lapdog press 4vxMWaZv wethepeople in the way tcot sgp,0
640,In his teen years Obama has been known to use marijuana and cocaine.,0
370,Obama Signs Fraud Friendly JOBS Act into Law j92pfp6T business economist,0
1179,I know people personally whose lives were saved by Barack Obama s health care law. I m through with your lies.,0
222,President Obama made the federal court look ridiculous and showed the RW who they truly are.,0
816,I wonder who d win in a footrace Barack Obama or Mitt Romney...stereotypes tell me Bam...but those things aren t very reliable are they,1
1079,Pretty cool video gt gt gt The Story of Fired up Ready to go Obama for America 2012 nxXJrxZe,2
900,Private payrolls fell 913k over W s first term rose 267k over his second term. Obama on track to do better than both.,0
1036,IDK. I just saw that Michelle Obama invited them to perform and they said no thank you .,1
127,American kid You re from the UK Ohhh cool So do you have tea with the Queen . British kid Do you like go to Mcdonalds with Obama,0
653,Why did Michelle Barack Obama become like celebrities . I can t take them seriously now. haha,0
897,ACA Can Live Even If Insurance Mandate Dies MhF1hyPC,2
736,Barack Obama s BBQ 2011 tA8pGNuA via,0
965,Pictures of Obama and Larry Sinclair WhatsRomneyHiding,0
285,lmfao Wonder if know Rihanna in that new movie battleship who am I kidding of course his groupie ass knew lol,0
382,American kid You re from the UK Ohhh cool So do you have tea with the Queen . British kid Do you like go to Mcdonalds with Obama,0
861,Priceless. Cons take over lame Obama hashtag whatsRomneyHiding Obamabots claim America wants to know because it s trending. So much stupid,0
84,Obama Campaign says Romney should make public 23 years of tax returns so Americans can assess any conflicts of interest.,1
749,Google stats tell me 223 Americans Who Hate Obama read my blog yesterday. I don t believe it but if you did visit AWHOs don t do it again,0
1075,WhatsRomneyHiding his birth certificate Nope that s Obama.,0
677,We need to tag Obama define him for Nov battle. Obama failedleader incompetent wasteful divisive desperate flexible arrogant lazy,0
629,romney is white obama,1
673,Obama Cozies Up With Egypt s Anti Western Islamists,0
60,I can t wait until Romney goes after Obama on NDAA. Oh wait,0
346,After Threatening Judges GOP Accuses Obama of Judicial Intimidation rHr93J15 via Republican Disinformation,0
40,American kid You re from the UK Ohhh cool So do you have tea with the Queen . British kid Do you like go to Mcdonalds with Obama,0
898,WhatsRomneyHiding How he told AIPAC he d have Israel s back in dealing with Iran then backtracked. No wait. That was Obama.,0
842,Is Hillary running 4 Pres We need 2 know. Tell her she will win this time. Fed up with B.S. obama,0
720,Obama Recycles Speeches VIDS TO VIEW NU1LDv2R via,0
145,En el backstage de los KCA s Harry le pregunto a Michelle Obama como hacia para ordenar pizza desde la Casa Blanca.,0
1226,Mitt Romney Obama Spent Too Much Time At Harvard Also A Year Less Than I Did qxcmS5HU via,0
697,Obama s Organizational Advantage on Full Display in N.H. ntzCSGeW,1
1172,WhatsRomneyHiding his connection to a former IL Governor selling a congressional seat... Whoops that s Obama again,0
766,Everyone hatin on obama here at work....,0
297,GOP calls Pres. Obama a Thug and we wonder why TrayvonMartin was killed,0
504,Obama had the chance.... China is now the customer for Canada s oil not America. Result Higher oil prices. Thanks O. mpZxO1Mn,0
508,President Obama Lindsay Lohan RUMORS video sec 50 to 56 visual special effects human soul indicator Covert overt connector.,0
6,one Chicago kid who says Obama is my man tells Jesse Watters that the gun violence in Chicago is like World War 17,0
579,really I d rather know what Obama is hiding with fast furiius healthcare ridiculous policies,0
971,Romney is right Obama should STOP LYING ABOUT 4 million new jobs NOT CREATED Killing AMERICAN CITIZENS HC FRAUD GOP DEM p2,0
165,Obamacare passed by 7 votes. For Obama this is a strong majority . LOL tX5Rx9tC tcot dem,1
193,I like how Obama asks WhatsRomneyHiding My guess Obama s crappy college transcripts. WhatsObamaSmoking Caring p2,0
987,Ignatius reports Obama signaled Iran US wld accept civ nuke pgm if Khameni can assure Iran will never get nuke weapons KkaAhGPq,1
123,edshow Whenever Obama tells the truth about the Gop they boo hoo hoo and call him a bully.,0
1136,Say how about that Obama sealing all his college transcripts passport records p2 Obama2012 No big deal eh gop tcot,1
1287,Napolitano Caught Hiring Muslim Brotherhood Terrorist Giving Him Top Secret Security Clearance,1
1005,I m Michelle Obama u Kim K C mon bitch u see where the black president at,0
506,Koch brothers linked to 3.6M anti Obama gas price ad campaign OTpHamKc Taa46B8j via,0
947,Obama will portray Romney as a rich white guy outta touch w the working class whos policies are similar to his so why not keep the hip cat,2
1006,Obama doesn t need to be your favorite person but he s still the President of the United States of America. That always deserves respect.,1
952,Is the GOp war on women a fact Does a bear sleep in the woods Go Obama 2012,0
1340,start tweeting dang,0
12,Here s How Obama and the Democrats Will Win in 2012 Let s start by going back to the assorted polls questioning... zpg0TVm3,1
111,If Obama were white he d be Mitt Romney.,1
364,4 gas high unemployment Obama is worried about Augusta National. This is smoke and mirrors for utter failure. cantwait2vote,0
904,How about we give him a decent Congress and then push Obama will move left only if we push him.,2
1244,you are so right about that shameonyou Obama,1
534,AT a campaign fundraiser tonight Pres. Obama again denounced Mitt Romney by name for his support of the House passed GOP Budget.,1
626,Pres Obama sayd I cannot wait for the big important debate we are going to have on these issues.,1
35,Even CBS won t buy bogus WH explanation of Obama Supreme Court comments at rkNdEmIy withnewt tpn tcot tlot tpp sgp,1
699,Obama s snafu over Supreme Court s job duties give hint as to why he has locked all his college transcripts in Fort Knox. TCOT,1
809,THIS WhatsRomneyHiding Obama s State Senate records,0
787,No wonder Obama hasn t made sense to me lately. I cannot get a handle on super smart law professor jargon. Example uh....um...uh...um....,1
940,We want a president with a spine not a president with fecklessness. America can do better than Obama. resist44 tcot if you agree,1
698,truth is Obama no budget trillions in debt high gas price inflation weak dollar no jobs Can t run on record,0
888,Pres. Obama s ongoing support of women is another reason I am so proud he is my President Obama2012,2
954,OBAMA HONORS the wkwnd of Holy Passover 4 Jews Holy Passion of Jesus by hosting MUSLIM BROTHERHOOD who wld murder both Jews Christians,2
1102,Is anyone else growing tired of the Obama Administration s relentless class warfare tactics They re maddening and un American.,0
899,He s half white so is he half Mitt Romney If Obama were white he d be Mitt Romney.,2
568,ILikeObamacare because its my patriot duty to pay way more for way less so that Obama can give away his stash. p2 tcot TeaParty,0
223,Romney who has two Harvard degrees blasts Obama for spending too much time at Harvard. avbgNT57 icymi,0
811,Obama is the only one representing women,0
564,U.S. not backing off as Iran sanctions bite WASHINGTON Reuters The Obama administration s man in charge of ... GHX5maQk,0
974,Obama at AP luncheon Newshounds in heat. Details at rkNdEmIy tlot withnewt tcot tpp tpn sgp sot MSM nra lnyhbt usmc,0
599,Wow.... LauraFlyMe Proved to be true Obama The One Video e1cPbsY0 via,2
614,I demand to see this alleged Constitutional scholar s college grades. We all know is rich but is Obama stupid,0
495,Obama s excessive WH parties AND his obsession with algae prove he is really a FUNGI. tcot,0
1157,Obama Campaign seizing on Washington Post report on Mitt Romney not disclosing certain details of his income assets. zneCZUTo,0
11,WhatsRomneyHiding Obama s dignity and sense of humor p2 tcot,2
1255,you right though enjoy your self my nigg we gon he wilding soon,1
212,Obama 2 versions of his ties 2 ACORN At 2008 debate 2eaXDiOD To ACORN IP2xu3cW WhatsRomneyHiding gen44 tcot,0
213,SubwayEATTFRESH WHO HASN T KIM K DATED OBAMA,0
265,American kid You re from the UK Ohhh cool So do you have tea with the Queen . British kid Do you like go to Mcdonalds with Obama,0
1328,Women at Augusta Obama says absolutely. Romney hedges. Comment on FB or tweet so we can share on edshow,0
840,Obama s college records whatsromneyhiding,0
1248,Oh now I get it. Obama was talking in shorthand and we were just too dumb to understand how smart he really is. Gagme.,1
754,Oust Obama Oust Obama 2012 avHENxrg via,0
1257,American kid You re from the UK Ohhh cool So do you have tea with the Queen . British kid Do you like go to Mcdonalds with Obama,0
1073,Take any poll of adults registered voters w grain of salt. Skew Dem. Likely voters best gauge of any election sVTTAKbW GOP,0
784,Anyone else notice how Obama runs his flaps on a subject disappears then his cronies take over wimp,0
520,yea ill dm it to you. Dont share it tho Hey u get Obama Pin Thanks bro,0
1160,Again President Obama stands up for women and boldly does so.,1
264,Obama signaled US would accept Iranian civilian nuclear program if Khamenei back up claim Iran will not pursue nukes svxFPoHq,1
303,a large number of GOP women will vote for Obama edshow,2
484,Obama has us mourning for America gt EDITORIAL Mr. cont PxooFjTO,0
446,,0
375,Why s Obama hiding his school record s,0
1106,Daily Front Row The Fix Designers Discuss Made In The USA Campaign VGCUvWQN fashion,0
369,Yes WHFail This WhatsRomneyHiding hashtag is entertaining. Is this another social media backfire from the Obama administration,1
328,Obama setting up Supreme Court as campaign issue... 1IiLN01H,1
471,Why didn t you ask the Sheriff about obama eligibility Looks like fox is in obama pocket also. Truth truth is now,0
95,Obama s college transcripts. WhatsRomneyHiding,0
34,WhatsRomneyHiding Obama s Mom Jeans,0
686,Syria Hama Homs Assad UN NATO Obama,0
1343,Obama Administration indicts 6th whistleblower under the Espionage Act xYdHGtKJ media journalism,0
171,Obama s hair whole gray,0
849,Think the GOP is engaged in a War on Women Why is Obama meeting with Women s worst enemy the Muslim Bro. tomorrow at OUR whitehouse,0
412,Archbishop Dolan Obama lied to his face. Read at wX1RzFKm tcot prolife tlot sgp MSM tpp Catholic lnyhbt withnewt army,0
808,WhatsRomneyHiding Obama s State Senate records,0
768,By the way it s PRESIDENT Obama. If Obama were white he d be Mitt Romney.,1
1176,We all know Obama will use Chicago style politics against Mitt Romney so I thought you d like to meet the REAL Mitt Romney HonestMitt,1
590,WhatsRomneyHiding The person who refuses to let Obama be clear,0
932,Obama s tax returns from the 80s and 90s WhatsRomneyHiding,0
230,Obama seeks to defuse healthcare row with court KkaKZGHv...,0
397,American Kid You re From The UK Ohhh Cool So Do You Have Tea With The Queen . British Kid Do You Like Go To Mcdonalds With Obama,0
868,This just pissed me the hell off. If Obama were white he d be Mitt Romney.,1
106,American kid You re from the UK Ohhh cool So do you have tea with the Queen . British kid Do you like go to Mcdonalds with Obama,0
725,Anyone else notice how Obama runs his flaps on a subject disappears then his cronies take over wimp,0
154,American kid You re from the UK Ohhh cool So do you have tea with the Queen . British kid Do you like go to Mcdonalds with Obama,0
197,i want your real birth certificate obama And your real college transcripts. Too bad they dont exist barry the exchange student,1
831,Obama eligibility birth... j9IJJsL5,0
535,KimKardashiansNextBoyFriend... Barack Obama... He s the leader of the free world. She s the booty in the white world...,2
302,McCaskill Calls For Obama to Release Day Half Supply of Oil From SPR via But Biden says oil policy is best it s ever been MOsen,0
1078,How Saul Alinsky Taught Obama to Say One Thing and Do the Opposite BKn8RpkI Tcot twisters teaparty sgp ocra,0
740,In VT Obama said he supports value that I am my brother s keeper. In that case brother you re spending too much of our money. tcot,0
472,Heard your diggin Michelle Obama get in there styles,0
1145,Namun dengan dirinya terpilih menjadi presiden jadwal Obama langsung pt menghadiri banyak undangan,0
877,Very important for Obama to do him job,1
687,Pres. Obama s ongoing support of women is another reason I am so proud he is my President Obama2012,2
1312,Despite rising gas prices energy policy experts Charles Ebinger Susan Tierney say you can t blame Obama on TheTavisSmileyShow this week.,0
287,KimKardashiansNextBoyFriend Obama,0
38,Obama And The Democrats Shocked By Constitutional Restraint RhSzoEU7 via,1
678,The actual Barack Obama Campaign And its particular Impact on Future Elections Other Sarah Palin was seeking... pbY99uec,0
908,Foot job act Obama assinou hj p,0
1166,Powerline points out that even the Washington Post is laughing at Obama. Oqebcdlc,1
1199,My tweet about Nobody being better than Obama got 8 RTs. The same tweet about Ron Paul got 2. Ron Paul is not Nobody people.,1
609,Obama should talk about the OIL PRODUCTION HE BOOSTED NONE NOT THE PROD. BUSH POLICIES ACTIONS BOOSTED TCOT P2 OCRA SGP,0
959,That his campaign disabled credit card verification on his online donation site WhatsRomneyHiding OhWait that s Obama 3fgWm3n4,0
1119,Obama Concedes That Courts Can Review Acts of Congress A federal appeals court had demanded that the administra... zejRChDn,0
780,0ne more I don t get awestruck much WE would be some amazing places but TPie in the whitehouse Mmm 1RimJk0Z,2
944,people say Obama is inept. This proves it.,0
610,Professor Norgaard Urged Obama To Ignore Democracy Public Opinion Paul Joseph Watson Infowars Climate change a... 6nWfVOAx,0
695,FULLERTON HAS A SUMMER INTERNSHIP AT THE WHITE HOUSE WHAT IF I GET TO MEET OBAMA,1
756,i aint hear about obama on the news yet . the hell he doing .,0
475,American kid You re from the UK Ohhh cool So do you have tea with the Queen . British kid Do you like go to Mcdonalds with Obama,0
1204,Tonight s show the Texas Republican Party may be the last line of defense between the Constitution and another four years of Obama.,1
939,Great photo LLAP trekkers Barack Obama Vulcan UejtlmGt,1
132,If Obama is a law professor I am a Navy SEAL. What a farce A Harvard law grad doesn t know Marbury v. Madison He s an ignorant twit.,0
1227,Nothing like Team Obama attacking Romney to unite conservatives. Thanks. WhatsRomneyHiding,0
340,Latest on NDAA lawsuit from which has the prettiest website. RQQpZJHd,0
1300,If President Obama is concerned that his efforts at diplomacy with Iran... nrVeFQPQ,0
233,0 because i know the global elite have set up america to fail in the coming years and there doing it through there puppet obama,0
1034,TCOT This says it all......Obama Caught Lying In His Own Words sTR0vyJK bcot NoObama liar socialist marxist deceit fail,0
707,Think About It Top Secret Obama 2012 World War 3 Illuminati Antichrist Conspiracy iqg1xarL via,0
77,American kid You re from the UK Ohhh cool So do you have tea with the Queen . British kid Do you like go to Mcdonalds with Obama,0
1266,WhatsRomneyHiding his long form birth certificate for 2 1 2 years... Oh wait that little game was played by Obama not Romney...,0
1332,Obama Respects the Supreme Court Says Eric Holder Violence in Syria Continues in Anticipation of... S4UHjSVS libertario tlot,1
631,Obama s embarrassing photos on Jim Messina to make him work Americans want to know. Trending 1 in US WhatsRomneyHiding,0
182,Irony is fun Obama is much friendlier with Muslim Brotherhood than the GOP but says only later is waging war on women.,0
1215,Hey I think the conservatives are taking over Obama s attempt to attack using whatsromneyhiding.... BWAhahahahahaha,0
301,White House in damage control over Obama Supreme Court remarks The White House was forced on the defensive on W... 2Yy8Srct,1
1127,Un genio Obama cantando Sexy and i know it ajajajaj LojgGtGT,1
1086,Romney gt Obama,0
902,Obama doesn t need to be your favorite person but he s still the President of the United States of America. That always deserves respect.,1
343,Michelle Obama invited the boys to her Easter party. l0l,0
1120,Obama Concedes That Courts Can Review Acts of Congress A federal appeals court had demanded that the administra... UbLfVfdK,0
815,Obama gotta Portugeese Water Dog,0
174,Sipsey Street Irregulars Katie Pavlich writes an audio book. FastandFurious Barack Obama s Bloodiest Scandal x5vw6vy4,0
438,One more thing to like about President Obama WGCL Obama believes women should be admitted to Augusta go9toJ8e,0
915,Obama has called the GOP budget social Darwinism. Nice try but they believe in social creationism.,1
1121,Obama Concedes That Courts Can Review Acts of Congress A federal appeals court had demanded that the administra... bKUGLufH,0
1058,What is a white Hispanic QTdmKZQe Is Obama a white African American Why do you use this racist term,1
276,Jim DeMint calls President Obama a bully 2kXhMwKY,0
26,the direspect of President Obama is based on racism. They do not want a Black PRESIDENT. edshow,0
509,I favorited a video LdPffo7a Tales of Fantasy Obama s Look HD,1
