,Sentence,Label,Dataset
283,atomic number  serious this is a picture show for the under-7 gang .,1,train
284,"No matter how much he runs around and acts like a doofus , accepting a 50-year-old in the role is creepy in a Michael Jackson sort of way .",1,train
285,"The Château would have been benefited from a sharper , cleaner script before it went in front of the camera .",1,train
286,"Despite its floating narrative , this is a remarkably accessible and haunting film .",4,train
287,"If spiritual pic are n't your discipline , stay out .",1,train
288,Steven Spielberg brings us another masterpiece,4,train
289,"With very little to add beyond the dark visions already released with a great past predecessors, such as swimming with sharks and the player, this latest skewering ... may lead to insiders and outsiders alike.",1,train
290,"May such immense that feels less like cinema than bad, being stuck in a dark pit having a nightmare cinema hard.",0,train
291,"The direction has Phifer fluid , a authority , and the performances no-nonsense by , Harris and Cam ' ron seal deal the .",3,train
292,"Glitter and Showgirls like, the happiest times here purpose.",1,train
293,Reggio and Glass put on an intoxicating show .,3,train
294,The filmmakers lack the nerve ... to fully exploit the script 's potential for sick humor .,2,train
295,"Is not, can be.",2,train
296,"The director , Mark Pellington , does a terrific job conjuring up a sinister , menacing atmosphere though unfortunately all the story gives us is flashing red lights , a rattling noise , and a bump on the head .",3,train
297,What 's adjacent,3,train
298,"Most consumers of lo mein and General Tso 's chicken barely give a thought to the folks who prepare and deliver it , so , hopefully , this film will attach a human face to all those little steaming cartons .",3,train
299,"Pete 's screenplay manage to detect that real raw , even-flowing tone that few movies are able to carry through .",4,train
300,"For every cheesy scene , though , there is a really cool bit -- the movie 's conception of a future-world holographic librarian ( Orlando Jones ) who knows everything and answers all questions , is visually smart , cleverly written , and nicely realized .",3,train
301,"A tale ugly, Duckling and hideously so clumsily that it was accidental.",0,train
302,"Is anyone else out there getting tired of the whole slo-mo , double-pistoled , ballistic-pyrotechnic Hong Kong action aesthetic ?",1,train
303,"So devilishly tricky that even the most jaded audiences leave the cinema auditorium feeling dizzy, confused and completely disoriented.",3,train
304,"One long , numbing action sequence made up mostly of routine stuff Yuen has given us before .",1,train
305,of the ever about the life moviemaking,4,train
306,"Seriously , rent the Disney version .",1,train
307,But its storytelling prowess and special effects are both listless .,1,train
308,"Film is quite funny, with most of the humor to come, as before, of joining incongruous but chemically perfect Crystal and De Niro.",4,train
309,It 's mostly a pleasure to watch .,3,train
310,"At its best , which occurs often , Michael Moore 's Bowling for Columbine rekindles the muckraking , soul-searching spirit of the ` Are we a sick society ? '",3,train
311,It has plenty of laughs .,3,train
312,"The fascination comes in the power of Huston performance, so it seems larger than life and yet so fragile, and how the character Ivan accept the news of her illness so quickly but still finds himself unable to respond.",3,train
313,Slackers ' jokey approach to college education is disappointingly simplistic -- the film 's biggest problem -- and there are no unforgettably stupid stunts or uproariously rude lines of dialogue to remember it by .,2,train
314,"formerly again , director Chris Columbus hire a hat-in-hand approach to Rowling that muffle creativity and allows the film to drag on for nigh three hours .",1,train
315,Every movie that makes work seem heroic deserves a mischievous.,3,train
316,"Though the aboriginal aspect lends the ending an extraordinary poignancy , and the story itself could be played out in any working class community in the nation .",3,train
317,Promote the Moore debate and thought giving provides an invaluable service.,4,train
318,The scorpio the scorpion queen is more play than Conan the uncivilised .,3,train
319,"This is Sandler draw on empty , echo what he 's already done manner too frequently .",1,train
320,I like my Christmas movies with more elves and snow and less pimps and ho 's .,0,train
321,It 's just plain boring .,2,train
322,Nair does n't treat the issues lightly .,3,train
323,Great character interaction .,4,train
324,A movie that at its best does n't just make the most out of its characters ' flaws but insists on the virtue of imperfection .,2,train
325,Possibly the most irresponsible picture ever released by a major film studio .,1,train
326,find wish a cold honest to god military man going through the motions .,1,train
327,Changing Lanes is an anomaly for a Hollywood movie ; it 's a well-written and occasionally challenging social drama that actually has something interesting to say .,4,train
328,"May not be a breakthrough in filmmaking , but it is unwavering and arresting .",3,train
329,"Though clearly well-intentioned , this cross-cultural soap opera is painfully formulaic and stilted .",1,train
330,"The bodily function jokes are about what you 'd expect , but there are rich veins of funny stuff in this movie .",3,train
331,"Delia , Greta , and Paula rank as three of the most multilayered and sympathetic female characters of the year .",4,train
332,"Nair just does n't have the necessary self discipline to manoeuver a loose , poorly integrated photographic film through the pitfalls of incoherence and redundancy .",0,train
333,Merci pullulate lupus erythematosus moving picture show .,2,train
334,Writer-director Ritchie reduces Wertmuller 's social mores to jargon .,1,train
335,It 's impossible to indulge the fanciful daydreams of Janice Beard ( Eileen Walsh ) when her real-life persona is so charmless and vacant .,1,train
336,"We Were , Hollywood makes a valiant to tell a story about the Vietnam War before the pathology set in .",3,train
337,"Rollerball IS as bad as you think , and worse than you can imagine .",0,train
338,"As the Mediterranean sparkles , ` Swept Away ' sinks .",1,train
339,"The plot has a number of holes , and at times it 's simply baffling .",1,train
340,"For all of its insights into the dream world of teen life , and its electronic expression through cyber culture , the film gives no quarter to anyone seeking to pull a cohesive story out of its 2 1/2 - hour running time .",0,train
341,goo disdain from every stoma .,2,train
342,This Tuxedo ... should have been charge back to the cut for some john r major change .,0,train
343,"Symbolically , Warm Water Under a Red Bridge is a celebration of feminine energy , a tribute to the power of women to heal .",3,train
344,"But unless you 're an absolute raving Star Wars junkie , it is n't much fun .",1,train
345,This movie got me grinning .,3,train
346,"A meditation on faith and madness , Frailty is blood-curdling stuff .",3,train
347,Gaghan ... has thrown every suspenseful cliché in the book at this nonsensical story .,1,train
