sentence_index,sentence,phrase,phrase_id,sentiment_value,sentiment_class,sentiment_cls_value
29,"At about 95 minutes , Treasure Planet maintains a brisk pace as it races through the familiar story .","At about 95 minutes , Treasure Planet maintains a brisk pace as it races through the familiar story .",222490,0.73611,Positive,3
30,"However , it lacks grandeur and that epic quality often associated with Stevenson 's tale as well as with earlier Disney efforts .","However , it lacks grandeur and that epic quality often associated with Stevenson 's tale as well as with earlier Disney efforts .",223707,0.25,Negative,1
31,It helps that Lil Bow Wow ... tones down his pint-sized gangsta act to play someone who resembles a real kid .,It helps that Lil Bow Wow ... tones down his pint-sized gangsta act to play someone who resembles a real kid .,14172,0.76389,Positive,3
32,"Guaranteed to move anyone who ever shook , rattled , or rolled .","Guaranteed to move anyone who ever shook , rattled , or rolled .",14072,0.83333,Very_Positive,4
33,"A masterful film from a master filmmaker , unique in its deceptive grimness , compelling in its fatalist worldview .","A masterful film from a master filmmaker , unique in its deceptive grimness , compelling in its fatalist worldview .",13782,0.90278,Very_Positive,4
34,"Light , cute and forgettable .","Light , cute and forgettable .",14231,0.59722,Neutral,2
35,"If there 's a way to effectively teach kids about the dangers of drugs , I think it 's in projects like the -LRB- unfortunately R-rated -RRB- Paid .","If there 's a way to effectively teach kids about the dangers of drugs , I think it 's in projects like the -LRB- unfortunately R-rated -RRB- Paid .",14116,0.54167,Neutral,2
36,"While it would be easy to give Crush the new title of Two Weddings and a Funeral , it 's a far more thoughtful film than any slice of Hugh Grant whimsy .","While it would be easy to give Crush the new title of Two Weddings and a Funeral , it 's a far more thoughtful film than any slice of Hugh Grant whimsy .",14626,0.75,Positive,3
37,"Though everything might be literate and smart , it never took off and always seemed static .","Though everything might be literate and smart , it never took off and always seemed static .",14546,0.33333,Negative,1
38,"Cantet perfectly captures the hotel lobbies , two-lane highways , and roadside cafes that permeate Vincent 's days","Cantet perfectly captures the hotel lobbies , two-lane highways , and roadside cafes that permeate Vincent 's days",13934,0.69444,Positive,3
39,"Ms. Fulford-Wierzbicki is almost spooky in her sulky , calculating Lolita turn .","Ms. Fulford-Wierzbicki is almost spooky in her sulky , calculating Lolita turn .",225019,0.625,Positive,3
40,"Though it is by no means his best work , Laissez-Passer is a distinguished and distinctive effort by a bona-fide master , a fascinating film replete with rewards to be had by all willing to make the effort to reap them .","Though it is by no means his best work , Laissez-Passer is a distinguished and distinctive effort by a bona-fide master , a fascinating film replete with rewards to be had by all willing to make the effort to reap them .",14548,0.65278,Positive,3
41,"Like most Bond outings in recent years , some of the stunts are so outlandish that they border on being cartoonlike .","Like most Bond outings in recent years , some of the stunts are so outlandish that they border on being cartoonlike .",14235,0.31944,Negative,1
42,A heavy reliance on CGI technology is beginning to creep into the series .,A heavy reliance on CGI technology is beginning to creep into the series .,13779,0.40278,Neutral,2
43,"Newton draws our attention like a magnet , and acts circles around her better known co-star , Mark Wahlberg .","Newton draws our attention like a magnet , and acts circles around her better known co-star , Mark Wahlberg .",14333,0.90278,Very_Positive,4
44,The story loses its bite in a last-minute happy ending that 's even less plausible than the rest of the picture .,The story loses its bite in a last-minute happy ending that 's even less plausible than the rest of the picture .,226498,0.11111,Very_Negative,0
45,"Much of the way , though , this is a refreshingly novel ride .","Much of the way , though , this is a refreshingly novel ride .",225062,0.81944,Very_Positive,4
46,Fuller would surely have called this gutsy and at times exhilarating movie a great yarn .,Fuller would surely have called this gutsy and at times exhilarating movie a great yarn .,14041,0.97222,Very_Positive,4
47,The film makes a strong case for the importance of the musicians in creating the Motown sound .,The film makes a strong case for the importance of the musicians in creating the Motown sound .,14496,0.70833,Positive,3
48,"Karmen moves like rhythm itself , her lips chanting to the beat , her long , braided hair doing little to wipe away the jeweled beads of sweat .","Karmen moves like rhythm itself , her lips chanting to the beat , her long , braided hair doing little to wipe away the jeweled beads of sweat .",14207,0.58333,Neutral,2
49,Gosling provides an amazing performance that dwarfs everything else in the film .,Gosling provides an amazing performance that dwarfs everything else in the film .,14065,0.98611,Very_Positive,4
50,"A real movie , about real people , that gives us a rare glimpse into a culture most of us do n't know .","A real movie , about real people , that gives us a rare glimpse into a culture most of us do n't know .",13790,0.77778,Positive,3
51,Tender yet lacerating and darkly funny fable .,Tender yet lacerating and darkly funny fable .,14478,0.80556,Very_Positive,4
52,May be spoofing an easy target -- those old ' 50 's giant creature features -- but ... it acknowledges and celebrates their cheesiness as the reason why people get a kick out of watching them today .,May be spoofing an easy target -- those old ' 50 's giant creature features -- but ... it acknowledges and celebrates their cheesiness as the reason why people get a kick out of watching them today .,224745,0.65278,Positive,3
53,An engaging overview of Johnson 's eccentric career .,An engaging overview of Johnson 's eccentric career .,13842,0.77778,Positive,3
54,"In its ragged , cheap and unassuming way , the movie works .","In its ragged , cheap and unassuming way , the movie works .",14136,0.65278,Positive,3
55,Some actors have so much charisma that you 'd be happy to listen to them reading the phone book .,Some actors have so much charisma that you 'd be happy to listen to them reading the phone book .,14436,0.76389,Positive,3
56,Hugh Grant and Sandra Bullock are two such likeable actors .,Hugh Grant and Sandra Bullock are two such likeable actors .,14092,0.875,Very_Positive,4
57,"Sandra Nettelbeck beautifully orchestrates the transformation of the chilly , neurotic , and self-absorbed Martha as her heart begins to open .","Sandra Nettelbeck beautifully orchestrates the transformation of the chilly , neurotic , and self-absorbed Martha as her heart begins to open .",14413,0.79167,Positive,3
58,"Behind the snow games and lovable Siberian huskies -LRB- plus one sheep dog -RRB- , the picture hosts a parka-wrapped dose of heart .","Behind the snow games and lovable Siberian huskies -LRB- plus one sheep dog -RRB- , the picture hosts a parka-wrapped dose of heart .",13892,0.63889,Positive,3
59,"Everytime you think Undercover Brother has run out of steam , it finds a new way to surprise and amuse .","Everytime you think Undercover Brother has run out of steam , it finds a new way to surprise and amuse .",14019,0.73611,Positive,3
60,"Manages to be original , even though it rips off many of its ideas .","Manages to be original , even though it rips off many of its ideas .",14256,0.54167,Neutral,2
61,"Singer\/composer Bryan Adams contributes a slew of songs -- a few potential hits , a few more simply intrusive to the story -- but the whole package certainly captures the intended , er , spirit of the piece .","Singer\/composer Bryan Adams contributes a slew of songs -- a few potential hits , a few more simply intrusive to the story -- but the whole package certainly captures the intended , er , spirit of the piece .",225801,0.625,Positive,3
62,You 'd think by now America would have had enough of plucky British eccentrics with hearts of gold .,You 'd think by now America would have had enough of plucky British eccentrics with hearts of gold .,14646,0.5,Neutral,2
63,Yet the act is still charming here .,Yet the act is still charming here .,14644,0.72222,Positive,3
64,"Whether or not you 're enlightened by any of Derrida 's lectures on `` the other '' and `` the self , '' Derrida is an undeniably fascinating and playful fellow .","Whether or not you 're enlightened by any of Derrida 's lectures on `` the other '' and `` the self , '' Derrida is an undeniably fascinating and playful fellow .",227114,0.83333,Very_Positive,4
65,"A pleasant enough movie , held together by skilled ensemble actors .","A pleasant enough movie , held together by skilled ensemble actors .",13788,0.66667,Positive,3
66,This is the best American movie about troubled teens since 1998 's Whatever .,This is the best American movie about troubled teens since 1998 's Whatever .,14537,0.77778,Positive,3
67,Disney has always been hit-or-miss when bringing beloved kids ' books to the screen ... Tuck Everlasting is a little of both .,Disney has always been hit-or-miss when bringing beloved kids ' books to the screen ... Tuck Everlasting is a little of both .,13977,0.54167,Neutral,2
68,Just the labour involved in creating the layered richness of the imagery in this chiaroscuro of madness and light is astonishing .,Just the labour involved in creating the layered richness of the imagery in this chiaroscuro of madness and light is astonishing .,224508,0.875,Very_Positive,4
69,"The animated subplot keenly depicts the inner struggles of our adolescent heroes - insecure , uncontrolled , and intense .","The animated subplot keenly depicts the inner struggles of our adolescent heroes - insecure , uncontrolled , and intense .",14489,0.66667,Positive,3
70,The invincible Werner Herzog is alive and well and living in LA,The invincible Werner Herzog is alive and well and living in LA,14500,0.70833,Positive,3
71,"Morton is a great actress portraying a complex character , but Morvern Callar grows less compelling the farther it meanders from its shocking start .","Morton is a great actress portraying a complex character , but Morvern Callar grows less compelling the farther it meanders from its shocking start .",14290,0.52778,Neutral,2
72,Part of the charm of Satin Rouge is that it avoids the obvious with humour and lightness .,Part of the charm of Satin Rouge is that it avoids the obvious with humour and lightness .,225402,0.72222,Positive,3
73,Son of the Bride may be a good half-hour too long but comes replete with a flattering sense of mystery and quietness .,Son of the Bride may be a good half-hour too long but comes replete with a flattering sense of mystery and quietness .,14444,0.34722,Negative,1
74,A simmering psychological drama in which the bursts of sudden violence are all the more startling for the slow buildup that has preceded them .,A simmering psychological drama in which the bursts of sudden violence are all the more startling for the slow buildup that has preceded them .,13799,0.75,Positive,3
75,"A taut , intelligent psychological drama .","A taut , intelligent psychological drama .",13811,0.80556,Very_Positive,4
76,"A truly moving experience , and a perfect example of how art -- when done right -- can help heal , clarify , and comfort .","A truly moving experience , and a perfect example of how art -- when done right -- can help heal , clarify , and comfort .",13820,0.875,Very_Positive,4
77,"This delicately observed story , deeply felt and masterfully stylized , is a triumph for its maverick director .","This delicately observed story , deeply felt and masterfully stylized , is a triumph for its maverick director .",14530,0.91667,Very_Positive,4
78,At heart the movie is a deftly wrought suspense yarn whose richer shadings work as coloring rather than substance .,At heart the movie is a deftly wrought suspense yarn whose richer shadings work as coloring rather than substance .,13875,0.83333,Very_Positive,4
79,"The appearance of Treebeard and Gollum 's expanded role will either have you loving what you 're seeing , or rolling your eyes .","The appearance of Treebeard and Gollum 's expanded role will either have you loving what you 're seeing , or rolling your eyes .",14492,0.51389,Neutral,2
80,I loved it !,I loved it !,223837,0.93056,Very_Positive,4
81,Gollum 's ` performance ' is incredible !,Gollum 's ` performance ' is incredible !,223507,0.91667,Very_Positive,4
82,a screenplay more ingeniously constructed than `` Memento '',a screenplay more ingeniously constructed than `` Memento '',228134,0.83333,Very_Positive,4
83,"If this movie were a book , it would be a page-turner , you ca n't wait to see what happens next .","If this movie were a book , it would be a page-turner , you ca n't wait to see what happens next .",14119,0.90625,Very_Positive,4
84,Haneke challenges us to confront the reality of sexual aberration .,Haneke challenges us to confront the reality of sexual aberration .,14075,0.61111,Positive,3
85,Absorbing and disturbing -- perhaps more disturbing than originally intended -- but a little clarity would have gone a long way .,Absorbing and disturbing -- perhaps more disturbing than originally intended -- but a little clarity would have gone a long way .,13829,0.36111,Negative,1
86,"It 's the best film of the year so far , the benchmark against which all other Best Picture contenders should be measured .","It 's the best film of the year so far , the benchmark against which all other Best Picture contenders should be measured .",14165,1.0,Very_Positive,4
87,"Painful to watch , but viewers willing to take a chance will be rewarded with two of the year 's most accomplished and riveting film performances .","Painful to watch , but viewers willing to take a chance will be rewarded with two of the year 's most accomplished and riveting film performances .",14366,0.66667,Positive,3
88,"This is a startling film that gives you a fascinating , albeit depressing view of Iranian rural life close to the Iraqi border .","This is a startling film that gives you a fascinating , albeit depressing view of Iranian rural life close to the Iraqi border .",14535,0.76389,Positive,3
89,"A few artsy flourishes aside , Narc is as gritty as a movie gets these days .","A few artsy flourishes aside , Narc is as gritty as a movie gets these days .",13774,0.52778,Neutral,2
90,"While The Isle is both preposterous and thoroughly misogynistic , its vistas are incredibly beautiful to look at .","While The Isle is both preposterous and thoroughly misogynistic , its vistas are incredibly beautiful to look at .",14624,0.61111,Positive,3
91,"Together , Tok and O orchestrate a buoyant , darkly funny dance of death .","Together , Tok and O orchestrate a buoyant , darkly funny dance of death .",14556,0.84722,Very_Positive,4
92,"In the process , they demonstrate that there 's still a lot of life in Hong Kong cinema .","In the process , they demonstrate that there 's still a lot of life in Hong Kong cinema .",224039,0.72222,Positive,3
93,"Director Kapur is a filmmaker with a real flair for epic landscapes and adventure , and this is a better film than his earlier English-language movie , the overpraised Elizabeth .","Director Kapur is a filmmaker with a real flair for epic landscapes and adventure , and this is a better film than his earlier English-language movie , the overpraised Elizabeth .",13971,0.68056,Positive,3
94,"The movie is a blast of educational energy , as bouncy animation and catchy songs escort you through the entire 85 minutes .","The movie is a blast of educational energy , as bouncy animation and catchy songs escort you through the entire 85 minutes .",14507,0.93056,Very_Positive,4
95,A sports movie with action that 's exciting on the field and a story you care about off it .,A sports movie with action that 's exciting on the field and a story you care about off it .,13809,0.86111,Very_Positive,4
96,"Doug Liman , the director of Bourne , directs the traffic well , gets a nice wintry look from his locations , absorbs us with the movie 's spycraft and uses Damon 's ability to be focused and sincere .","Doug Liman , the director of Bourne , directs the traffic well , gets a nice wintry look from his locations , absorbs us with the movie 's spycraft and uses Damon 's ability to be focused and sincere .",13985,0.84722,Very_Positive,4
97,The tenderness of the piece is still intact .,The tenderness of the piece is still intact .,14515,0.80556,Very_Positive,4
98,"Katz uses archival footage , horrifying documents of lynchings , still photographs and charming old reel-to-reel recordings of Meeropol entertaining his children to create his song history , but most powerful of all is the song itself","Katz uses archival footage , horrifying documents of lynchings , still photographs and charming old reel-to-reel recordings of Meeropol entertaining his children to create his song history , but most powerful of all is the song itself",14210,0.76389,Positive,3
99,"Like the film 's almost anthropologically detailed realization of early - '80s suburbia , it 's significant without being overstated .","Like the film 's almost anthropologically detailed realization of early - '80s suburbia , it 's significant without being overstated .",14238,0.73611,Positive,3
100,While McFarlane 's animation lifts the film firmly above the level of other coming-of-age films ... it 's also so jarring that it 's hard to get back into the boys ' story .,While McFarlane 's animation lifts the film firmly above the level of other coming-of-age films ... it 's also so jarring that it 's hard to get back into the boys ' story .,14622,0.375,Negative,1
101,"If nothing else , this movie introduces a promising , unusual kind of psychological horror .","If nothing else , this movie introduces a promising , unusual kind of psychological horror .",14114,0.75,Positive,3
102,"In a normal screen process , these bromides would be barely enough to sustain an interstitial program on the Discovery Channel .","In a normal screen process , these bromides would be barely enough to sustain an interstitial program on the Discovery Channel .",224005,0.19444,Very_Negative,0
104,Writer-director Burger imaginatively fans the embers of a dormant national grief and curiosity that has calcified into chronic cynicism and fear .,Writer-director Burger imaginatively fans the embers of a dormant national grief and curiosity that has calcified into chronic cynicism and fear .,14642,0.73611,Positive,3
105,... a roller-coaster ride of a movie,... a roller-coaster ride of a movie,13714,0.81944,Very_Positive,4
106,"I enjoyed Time of Favor while I was watching it , but I was surprised at how quickly it faded from my memory .","I enjoyed Time of Favor while I was watching it , but I was surprised at how quickly it faded from my memory .",14102,0.44444,Neutral,2
107,"Chicago is sophisticated , brash , sardonic , completely joyful in its execution .","Chicago is sophisticated , brash , sardonic , completely joyful in its execution .",13943,0.90278,Very_Positive,4
108,Steve Irwin 's method is Ernest Hemmingway at accelerated speed and volume .,Steve Irwin 's method is Ernest Hemmingway at accelerated speed and volume .,14457,0.66667,Positive,3
109,A refreshing Korean film about five female high school friends who face an uphill battle when they try to take their relationships into deeper waters .,A refreshing Korean film about five female high school friends who face an uphill battle when they try to take their relationships into deeper waters .,13792,0.875,Very_Positive,4
110,"On the surface , it 's a lovers-on-the-run crime flick , but it has a lot in common with Piesiewicz 's and Kieslowski 's earlier work , films like The Double Life of Veronique .","On the surface , it 's a lovers-on-the-run crime flick , but it has a lot in common with Piesiewicz 's and Kieslowski 's earlier work , films like The Double Life of Veronique .",14355,0.61111,Positive,3
111,"The values that have held the Enterprise crew together through previous adventures and perils do so again-courage , self-sacrifice and patience under pressure .","The values that have held the Enterprise crew together through previous adventures and perils do so again-courage , self-sacrifice and patience under pressure .",14518,0.70833,Positive,3
112,"If it 's possible for a sequel to outshine the original , then SL2 does just that .","If it 's possible for a sequel to outshine the original , then SL2 does just that .",14112,0.83333,Very_Positive,4
113,A romantic comedy that operates by the rules of its own self-contained universe .,A romantic comedy that operates by the rules of its own self-contained universe .,13795,0.625,Positive,3
114,"4 friends , 2 couples , 2000 miles , and all the Pabst Blue Ribbon beer they can drink - it 's the ultimate redneck road-trip .","4 friends , 2 couples , 2000 miles , and all the Pabst Blue Ribbon beer they can drink - it 's the ultimate redneck road-trip .",13742,0.77778,Positive,3
115,The film is often filled with a sense of pure wonderment and excitement not often seen in today 's cinema du sarcasm,The film is often filled with a sense of pure wonderment and excitement not often seen in today 's cinema du sarcasm,14495,0.97222,Very_Positive,4
116,"It might be tempting to regard Mr. Andrew and his collaborators as oddballs , but Mr. Earnhart 's quizzical , charming movie allows us to see them , finally , as artists .","It might be tempting to regard Mr. Andrew and his collaborators as oddballs , but Mr. Earnhart 's quizzical , charming movie allows us to see them , finally , as artists .",224380,0.79167,Positive,3
117,A feel-good picture in the best sense of the term .,A feel-good picture in the best sense of the term .,13771,0.94444,Very_Positive,4
118,"Edited and shot with a syncopated style mimicking the work of his subjects , Pray turns the idea of the documentary on its head , making it rousing , invigorating fun lacking any MTV puffery .","Edited and shot with a syncopated style mimicking the work of his subjects , Pray turns the idea of the documentary on its head , making it rousing , invigorating fun lacking any MTV puffery .",13993,0.63889,Positive,3
119,"A mostly intelligent , engrossing and psychologically resonant suspenser .","A mostly intelligent , engrossing and psychologically resonant suspenser .",13786,0.76389,Positive,3
120,"It 's this memory-as-identity obviation that gives Secret Life its intermittent unease , reaffirming that long-held illusions are indeed reality , and that erasing them recasts the self .","It 's this memory-as-identity obviation that gives Secret Life its intermittent unease , reaffirming that long-held illusions are indeed reality , and that erasing them recasts the self .",14166,0.58333,Neutral,2
121,"Hip-hop has a history , and it 's a metaphor for this love story .","Hip-hop has a history , and it 's a metaphor for this love story .",14082,0.59722,Neutral,2
122,"In scope , ambition and accomplishment , Children of the Century ... takes Kurys ' career to a whole new level .","In scope , ambition and accomplishment , Children of the Century ... takes Kurys ' career to a whole new level .",14138,0.86111,Very_Positive,4
123,"This may not have the dramatic gut-wrenching impact of other Holocaust films , but it 's a compelling story , mainly because of the way it 's told by the people who were there .","This may not have the dramatic gut-wrenching impact of other Holocaust films , but it 's a compelling story , mainly because of the way it 's told by the people who were there .",14540,0.76389,Positive,3
124,Between the drama of Cube ?,Between the drama of Cube ?,222612,0.5,Neutral,2
125,"s personal revelations regarding what the shop means in the big picture , iconic characters gambol fluidly through the story , with charming results .","s personal revelations regarding what the shop means in the big picture , iconic characters gambol fluidly through the story , with charming results .",235423,0.83333,Very_Positive,4
126,"A gentle , compassionate drama about grief and healing .","A gentle , compassionate drama about grief and healing .",13776,0.73611,Positive,3
127,"Somewhere short of Tremors on the modern B-scene : neither as funny nor as clever , though an agreeably unpretentious way to spend ninety minutes .","Somewhere short of Tremors on the modern B-scene : neither as funny nor as clever , though an agreeably unpretentious way to spend ninety minutes .",14441,0.26389,Negative,1
128,Digital-video documentary about stand-up comedians is a great glimpse into a very different world .,Digital-video documentary about stand-up comedians is a great glimpse into a very different world .,13967,0.79167,Positive,3
129,"Unlike most teen flicks , Swimming takes its time to tell its story , casts mostly little-known performers in key roles , and introduces some intriguing ambiguity .","Unlike most teen flicks , Swimming takes its time to tell its story , casts mostly little-known performers in key roles , and introduces some intriguing ambiguity .",14586,0.54167,Neutral,2
130,"An enthralling , playful film that constantly frustrates our desire to know the ` truth ' about this man , while deconstructing the very format of the biography in a manner that Derrida would doubtless give his blessing to .","An enthralling , playful film that constantly frustrates our desire to know the ` truth ' about this man , while deconstructing the very format of the biography in a manner that Derrida would doubtless give his blessing to .",13844,0.63889,Positive,3
131,`` Extreme Ops '' exceeds expectations .,`` Extreme Ops '' exceeds expectations .,227472,0.73611,Positive,3
132,"Good fun , good action , good acting , good dialogue , good pace , good cinematography .","Good fun , good action , good acting , good dialogue , good pace , good cinematography .",223512,0.90278,Very_Positive,4
133,You Should Pay Nine Bucks for This : Because you can hear about suffering Afghan refugees on the news and still be unaffected .,You Should Pay Nine Bucks for This : Because you can hear about suffering Afghan refugees on the news and still be unaffected .,227271,0.44444,Neutral,2
134,Dramas like this make it human .,Dramas like this make it human .,223193,0.80556,Very_Positive,4
135,"A thunderous ride at first , quiet cadences of pure finesse are few and far between ; their shortage dilutes the potency of otherwise respectable action .","A thunderous ride at first , quiet cadences of pure finesse are few and far between ; their shortage dilutes the potency of otherwise respectable action .",222105,0.44444,Neutral,2
136,"Still , this flick is fun , and host to some truly excellent sequences .","Still , this flick is fun , and host to some truly excellent sequences .",225973,0.81944,Very_Positive,4
137,"It 's obviously struck a responsive chord with many South Koreans , and should work its magic in other parts of the world .","It 's obviously struck a responsive chord with many South Koreans , and should work its magic in other parts of the world .",14164,0.88889,Very_Positive,4
138,"Run , do n't walk , to see this barbed and bracing comedy on the big screen .","Run , do n't walk , to see this barbed and bracing comedy on the big screen .",14404,0.90278,Very_Positive,4
139,A classy item by a legend who may have nothing left to prove but still has the chops and drive to show how its done .,A classy item by a legend who may have nothing left to prove but still has the chops and drive to show how its done .,13759,0.83333,Very_Positive,4
140,It is nature against progress .,It is nature against progress .,224336,0.5,Neutral,2
141,"In Fessenden 's horror trilogy , this theme has proved important to him and is especially so in the finale .","In Fessenden 's horror trilogy , this theme has proved important to him and is especially so in the finale .",224002,0.68056,Positive,3
142,"It 's not exactly a gourmet meal but the fare is fair , even coming from the drive-thru .","It 's not exactly a gourmet meal but the fare is fair , even coming from the drive-thru .",14163,0.70833,Positive,3
143,"This is what IMAX was made for : Strap on a pair of 3-D goggles , shut out the real world , and take a vicarious voyage to the last frontier -- space .","This is what IMAX was made for : Strap on a pair of 3-D goggles , shut out the real world , and take a vicarious voyage to the last frontier -- space .",14538,0.88889,Very_Positive,4
144,"Merely as a technical , logistical feat , Russian Ark marks a cinematic milestone .","Merely as a technical , logistical feat , Russian Ark marks a cinematic milestone .",14276,0.77778,Positive,3
145,"-LRB- Schweiger is -RRB- talented and terribly charismatic , qualities essential to both movie stars and social anarchists .","-LRB- Schweiger is -RRB- talented and terribly charismatic , qualities essential to both movie stars and social anarchists .",13696,0.77778,Positive,3
146,It 's a great deal of sizzle and very little steak .,It 's a great deal of sizzle and very little steak .,14156,0.25,Negative,1
147,But what spectacular sizzle it is !,But what spectacular sizzle it is !,222837,0.86111,Very_Positive,4
148,... In this incarnation its fizz is infectious .,... In this incarnation its fizz is infectious .,221767,0.84722,Very_Positive,4
149,An original gem about an obsession with time .,An original gem about an obsession with time .,13853,0.72222,Positive,3
150,It will delight newcomers to the story and those who know it from bygone days .,It will delight newcomers to the story and those who know it from bygone days .,14179,0.90278,Very_Positive,4
151,Gloriously goofy -LRB- and gory -RRB- midnight movie stuff .,Gloriously goofy -LRB- and gory -RRB- midnight movie stuff .,14050,0.61111,Positive,3
152,The film overcomes the regular minefield of coming-of-age cliches with potent doses of honesty and sensitivity .,The film overcomes the regular minefield of coming-of-age cliches with potent doses of honesty and sensitivity .,14497,0.80556,Very_Positive,4
153,"If your senses have n't been dulled by slasher films and gorefests , if you 're a connoisseur of psychological horror , this is your ticket .","If your senses have n't been dulled by slasher films and gorefests , if you 're a connoisseur of psychological horror , this is your ticket .",14125,0.79167,Positive,3
154,"It 's a minor comedy that tries to balance sweetness with coarseness , while it paints a sad picture of the singles scene .","It 's a minor comedy that tries to balance sweetness with coarseness , while it paints a sad picture of the singles scene .",14159,0.61111,Positive,3
155,It is intensely personal and yet -- unlike Quills -- deftly shows us the temper of the times .,It is intensely personal and yet -- unlike Quills -- deftly shows us the temper of the times .,14173,0.81944,Very_Positive,4
