sentence_index,sentence,phrase,phrase_id,sentiment_value,sentiment_class,sentiment_cls_value,splitset_label
1241,"... a spoof comedy that carries its share of laughs -- sometimes a chuckle , sometimes a guffaw and , to my great pleasure , the occasional belly laugh .","... a spoof comedy that carries its share of laughs -- sometimes a chuckle , sometimes a guffaw and , to my great pleasure , the occasional belly laugh .",221790,0.86111,Very_Positive,4,1
1274,The wanton slipperiness of \* Corpus and its amiable jerking and reshaping of physical time and space would make it a great piece to watch with kids and use to introduce video as art .,The wanton slipperiness of \* Corpus and its amiable jerking and reshaping of physical time and space would make it a great piece to watch with kids and use to introduce video as art .,226542,0.88889,Very_Positive,4,1
1489,"For those who pride themselves on sophisticated , discerning taste , this might not seem like the proper cup of tea , however it is almost guaranteed that even the stuffiest cinema goers will laugh their \*\*\* off for an hour-and-a-half .","For those who pride themselves on sophisticated , discerning taste , this might not seem like the proper cup of tea , however it is almost guaranteed that even the stuffiest cinema goers will laugh their \*\*\* off for an hour-and-a-half .",223413,0.83333,Very_Positive,4,1
1588,"It cuts to the core of what it actually means to face your fears , to be a girl in a world of boys , to be a boy truly in love with a girl , and to ride the big metaphorical wave that is life -- wherever it takes you .","It cuts to the core of what it actually means to face your fears , to be a girl in a world of boys , to be a boy truly in love with a girl , and to ride the big metaphorical wave that is life -- wherever it takes you .",224276,0.81944,Very_Positive,4,1
1671,"A welcome relief from baseball movies that try too hard to be mythic , this one is a sweet and modest and ultimately winning story .","A welcome relief from baseball movies that try too hard to be mythic , this one is a sweet and modest and ultimately winning story .",44339,0.66667,Positive,3,1
1673,It has more than a few moments that are insightful enough to be fondly remembered in the endlessly challenging maze of moviegoing .,It has more than a few moments that are insightful enough to be fondly remembered in the endlessly challenging maze of moviegoing .,45790,0.65278,Positive,3,1
1674,"Opening with some contrived banter , cliches and some loose ends , the screenplay only comes into its own in the second half .","Opening with some contrived banter , cliches and some loose ends , the screenplay only comes into its own in the second half .",46441,0.45833,Neutral,2,1
1675,"An uncluttered , resonant gem that relays its universal points without lectures or confrontations . '","An uncluttered , resonant gem that relays its universal points without lectures or confrontations . '",222320,0.75,Positive,3,1
1677,"A smart , steamy mix of road movie , coming-of-age story and political satire .","A smart , steamy mix of road movie , coming-of-age story and political satire .",44255,0.66667,Positive,3,1
1678,The modern-day royals have nothing on these guys when it comes to scandals .,The modern-day royals have nothing on these guys when it comes to scandals .,47158,0.38889,Negative,1,1
1679,It 's only in fairy tales that princesses that are married for political reason live happily ever after .,It 's only in fairy tales that princesses that are married for political reason live happily ever after .,45749,0.36111,Negative,1,1
1680,"A terrific B movie -- in fact , the best in recent memory .","A terrific B movie -- in fact , the best in recent memory .",44303,1.0,Very_Positive,4,1
1681,`` Birthday Girl '' is an actor 's movie first and foremost .,`` Birthday Girl '' is an actor 's movie first and foremost .,227443,0.70833,Positive,3,1
1682,I walked away from this new version of E.T. just as I hoped I would -- with moist eyes .,I walked away from this new version of E.T. just as I hoped I would -- with moist eyes .,223863,0.875,Very_Positive,4,1
1683,"For devotees of French cinema , Safe Conduct is so rich with period minutiae it 's like dying and going to celluloid heaven .","For devotees of French cinema , Safe Conduct is so rich with period minutiae it 's like dying and going to celluloid heaven .",45277,0.90278,Very_Positive,4,1
1684,What 's really so appealing about the characters is their resemblance to everyday children .,What 's really so appealing about the characters is their resemblance to everyday children .,47582,0.70833,Positive,3,1
1685,"Shamelessly resorting to pee-related sight gags that might even cause Tom Green a grimace ; still , Myer 's energy and the silliness of it all eventually prevail","Shamelessly resorting to pee-related sight gags that might even cause Tom Green a grimace ; still , Myer 's energy and the silliness of it all eventually prevail",46723,0.54167,Neutral,2,1
1686,An absurdist spider web .,An absurdist spider web .,44456,0.36111,Negative,1,1
1687,"If you 're as happy listening to movies as you are watching them , and the slow parade of human frailty fascinates you , then you 're at the right film .","If you 're as happy listening to movies as you are watching them , and the slow parade of human frailty fascinates you , then you 're at the right film .",45621,0.63889,Positive,3,1
1688,"This version moves beyond the original 's nostalgia for the communal film experiences of yesteryear to a deeper realization of cinema 's inability to stand in for true , lived experience .","This version moves beyond the original 's nostalgia for the communal film experiences of yesteryear to a deeper realization of cinema 's inability to stand in for true , lived experience .",47405,0.55556,Neutral,2,1
1689,Some movies blend together as they become distant memories .,Some movies blend together as they become distant memories .,225872,0.44444,Neutral,2,1
1690,Mention `` Solaris '' five years from now and I 'm sure those who saw it will have an opinion to share .,Mention `` Solaris '' five years from now and I 'm sure those who saw it will have an opinion to share .,224781,0.66667,Positive,3,1
1691,Allen 's funniest and most likeable movie in years .,Allen 's funniest and most likeable movie in years .,44403,0.875,Very_Positive,4,1
1692,It 's a glorious spectacle like those D.W. Griffith made in the early days of silent film .,It 's a glorious spectacle like those D.W. Griffith made in the early days of silent film .,224123,0.80556,Very_Positive,4,1
1693,This comic gem is as delightful as it is derivative .,This comic gem is as delightful as it is derivative .,47350,0.81944,Very_Positive,4,1
1694,"More timely than its director could ever have dreamed , this quietly lyrical tale probes the ambiguous welcome extended by Iran to the Afghani refugees who streamed across its borders , desperate for work and food .","More timely than its director could ever have dreamed , this quietly lyrical tale probes the ambiguous welcome extended by Iran to the Afghani refugees who streamed across its borders , desperate for work and food .",46220,0.81944,Very_Positive,4,1
1695,"The leaping story line , shaped by director Peter Kosminsky into sharp slivers and cutting impressions , shows all the signs of rich detail condensed into a few evocative images and striking character traits .","The leaping story line , shaped by director Peter Kosminsky into sharp slivers and cutting impressions , shows all the signs of rich detail condensed into a few evocative images and striking character traits .",47140,0.625,Positive,3,1
1696,"With three excellent principal singers , a youthful and good-looking diva and tenor and richly handsome locations , it 's enough to make you wish Jacquot had left well enough alone and just filmed the opera without all these distortions of perspective .","With three excellent principal singers , a youthful and good-looking diva and tenor and richly handsome locations , it 's enough to make you wish Jacquot had left well enough alone and just filmed the opera without all these distortions of perspective .",47664,0.45833,Neutral,2,1
1697,"The production has been made with an enormous amount of affection , so we believe these characters love each other .","The production has been made with an enormous amount of affection , so we believe these characters love each other .",47226,0.83333,Very_Positive,4,1
1698,Certainly the performances are worthwhile .,Certainly the performances are worthwhile .,44870,0.72222,Positive,3,1
1699,"Winds up being both revelatory and narcissistic , achieving some honest insight into relationships that most high-concept films candy-coat with pat storylines , precious circumstances and beautiful stars .","Winds up being both revelatory and narcissistic , achieving some honest insight into relationships that most high-concept films candy-coat with pat storylines , precious circumstances and beautiful stars .",47646,0.68056,Positive,3,1
1700,Watching these eccentrics is both inspiring and pure joy .,Watching these eccentrics is both inspiring and pure joy .,47567,0.84722,Very_Positive,4,1
1701,Steven Spielberg brings us another masterpiece,Steven Spielberg brings us another masterpiece,46812,0.98611,Very_Positive,4,1
1702,"Finally , the French-produced `` Read My Lips '' is a movie that understands characters must come first .","Finally , the French-produced `` Read My Lips '' is a movie that understands characters must come first .",223369,0.73611,Positive,3,1
1703,"Ms. Seigner and Mr. Serrault bring fresh , unforced naturalism to their characters .","Ms. Seigner and Mr. Serrault bring fresh , unforced naturalism to their characters .",225043,0.80556,Very_Positive,4,1
1704,Allen shows he can outgag any of those young whippersnappers making moving pictures today .,Allen shows he can outgag any of those young whippersnappers making moving pictures today .,44406,0.76389,Positive,3,1
1705,"A good film with a solid pedigree both in front of and , more specifically , behind the camera .","A good film with a solid pedigree both in front of and , more specifically , behind the camera .",44104,0.79167,Positive,3,1
1706,"By no means a slam-dunk and sure to ultimately disappoint the action fans who will be moved to the edge of their seats by the dynamic first act , it still comes off as a touching , transcendent love story .","By no means a slam-dunk and sure to ultimately disappoint the action fans who will be moved to the edge of their seats by the dynamic first act , it still comes off as a touching , transcendent love story .",44820,0.23611,Negative,1,1
1707,I encourage young and old alike to go see this unique and entertaining twist on the classic whale 's tale -- you wo n't be sorry !,I encourage young and old alike to go see this unique and entertaining twist on the classic whale 's tale -- you wo n't be sorry !,45569,0.875,Very_Positive,4,1
1708,A literary detective story is still a detective story and aficionados of the whodunit wo n't be disappointed .,A literary detective story is still a detective story and aficionados of the whodunit wo n't be disappointed .,44149,0.69444,Positive,3,1
1709,High Crimes steals so freely from other movies and combines enough disparate types of films that it ca n't help but engage an audience .,High Crimes steals so freely from other movies and combines enough disparate types of films that it ca n't help but engage an audience .,45490,0.61111,Positive,3,1
1710,If you 're a fan of the series you 'll love it and probably want to see it twice .,If you 're a fan of the series you 'll love it and probably want to see it twice .,45618,0.91667,Very_Positive,4,1
1711,I will be .,I will be .,45597,0.625,Positive,3,1
1712,"It celebrates the group 's playful spark of nonconformity , glancing vividly back at what Hibiscus grandly called his ` angels of light . '","It celebrates the group 's playful spark of nonconformity , glancing vividly back at what Hibiscus grandly called his ` angels of light . '",45774,0.72222,Positive,3,1
1713,"The story ... is inspiring , ironic , and revelatory of just how ridiculous and money-oriented the record industry really is .","The story ... is inspiring , ironic , and revelatory of just how ridiculous and money-oriented the record industry really is .",226490,0.80556,Very_Positive,4,1
1714,It is also a testament to the integrity and vision of the band .,It is also a testament to the integrity and vision of the band .,45807,0.75,Positive,3,1
1715,"Laced with liberal doses of dark humor , gorgeous exterior photography , and a stable-full of solid performances , No Such Thing is a fascinating little tale .","Laced with liberal doses of dark humor , gorgeous exterior photography , and a stable-full of solid performances , No Such Thing is a fascinating little tale .",45974,0.86111,Very_Positive,4,1
1716,"Huppert 's show to steal and she makes a meal of it , channeling Kathy Baker 's creepy turn as the repressed mother on Boston Public just as much as 8 Women 's Augustine .","Huppert 's show to steal and she makes a meal of it , channeling Kathy Baker 's creepy turn as the repressed mother on Boston Public just as much as 8 Women 's Augustine .",45540,0.61111,Positive,3,1
1717,Nair does n't treat the issues lightly .,Nair does n't treat the issues lightly .,46298,0.61111,Positive,3,1
1718,She allows each character to confront their problems openly and honestly .,She allows each character to confront their problems openly and honestly .,46728,0.72222,Positive,3,1
1719,"One of the best silly horror movies of recent memory , with some real shocks in store for unwary viewers .","One of the best silly horror movies of recent memory , with some real shocks in store for unwary viewers .",46421,0.88889,Very_Positive,4,1
1720,The work of a filmmaker who has secrets buried at the heart of his story and knows how to take time revealing them .,The work of a filmmaker who has secrets buried at the heart of his story and knows how to take time revealing them .,226549,0.77778,Positive,3,1
1721,Strange occurrences build in the mind of the viewer and take on extreme urgency .,Strange occurrences build in the mind of the viewer and take on extreme urgency .,225980,0.72222,Positive,3,1
1722,"Has a certain ghoulish fascination , and generates a fair amount of B-movie excitement .","Has a certain ghoulish fascination , and generates a fair amount of B-movie excitement .",45448,0.68056,Positive,3,1
1723,Familiar but utterly delightful .,Familiar but utterly delightful .,45212,0.63889,Positive,3,1
1724,"A fascinating , dark thriller that keeps you hooked on the delicious pulpiness of its lurid fiction .","A fascinating , dark thriller that keeps you hooked on the delicious pulpiness of its lurid fiction .",44066,0.76389,Positive,3,1
1725,"The film aims to be funny , uplifting and moving , sometimes all at once .","The film aims to be funny , uplifting and moving , sometimes all at once .",226262,0.69444,Positive,3,1
1726,The extent to which it succeeds is impressive .,The extent to which it succeeds is impressive .,226241,0.77778,Positive,3,1
1727,"The film brilliantly shines on all the characters , as the direction is intelligently accomplished .","The film brilliantly shines on all the characters , as the direction is intelligently accomplished .",47052,0.91667,Very_Positive,4,1
1728,"While not for every taste , this often very funny collegiate gross-out comedy goes a long way toward restoring the luster of the National Lampoon film franchise , too long reduced to direct-to-video irrelevancy .","While not for every taste , this often very funny collegiate gross-out comedy goes a long way toward restoring the luster of the National Lampoon film franchise , too long reduced to direct-to-video irrelevancy .",47626,0.70833,Positive,3,1
1729,"As broad and cartoonish as the screenplay is , there is an accuracy of observation in the work of the director , Frank Novak , that keeps the film grounded in an undeniable social realism .","As broad and cartoonish as the screenplay is , there is an accuracy of observation in the work of the director , Frank Novak , that keeps the film grounded in an undeniable social realism .",44579,0.79167,Positive,3,1
1730,"In addition to Hoffman 's powerful acting clinic , this is that rare drama that offers a thoughtful and rewarding glimpse into the sort of heartache everyone has felt , or will feel someday .","In addition to Hoffman 's powerful acting clinic , this is that rare drama that offers a thoughtful and rewarding glimpse into the sort of heartache everyone has felt , or will feel someday .",45653,0.88889,Very_Positive,4,1
1731,Jeffrey Tambor 's performance as the intelligent jazz-playing exterminator is Oscar-worthy .,Jeffrey Tambor 's performance as the intelligent jazz-playing exterminator is Oscar-worthy .,45888,1.0,Very_Positive,4,1
1732,"From the opening strains of the Average White Band 's `` Pick up the Pieces '' , you can feel the love .","From the opening strains of the Average White Band 's `` Pick up the Pieces '' , you can feel the love .",223437,0.66667,Positive,3,1
1733,Stevens ' vibrant creative instincts are the difference between this and countless other flicks about guys and dolls .,Stevens ' vibrant creative instincts are the difference between this and countless other flicks about guys and dolls .,46815,0.73611,Positive,3,1
1734,that it 'll probably be the best and most mature comedy of the 2002 summer season speaks more of the season than the picture,that it 'll probably be the best and most mature comedy of the 2002 summer season speaks more of the season than the picture,57814,0.66667,Positive,3,1
1735,"Old people will love this movie , and I mean that in the nicest possible way : Last Orders will touch the heart of anyone old enough to have earned a 50-year friendship .","Old people will love this movie , and I mean that in the nicest possible way : Last Orders will touch the heart of anyone old enough to have earned a 50-year friendship .",46388,0.51389,Neutral,2,1
1736,Meyjes ' provocative film might be called an example of the haphazardness of evil .,Meyjes ' provocative film might be called an example of the haphazardness of evil .,46169,0.66667,Positive,3,1
1737,Tian emphasizes the isolation of these characters by confining color to Liyan 's backyard .,Tian emphasizes the isolation of these characters by confining color to Liyan 's backyard .,47429,0.55556,Neutral,2,1
1738,The movie is pretty funny now and then without in any way demeaning its subjects .,The movie is pretty funny now and then without in any way demeaning its subjects .,47178,0.76389,Positive,3,1
1739,imagine a scenario where Bergman approaches Swedish fatalism using Gary Larson 's Far Side humor,imagine a scenario where Bergman approaches Swedish fatalism using Gary Larson 's Far Side humor,52834,0.61111,Positive,3,1
1741,"It is most remarkable not because of its epic scope , but because of the startling intimacy it achieves despite that breadth .","It is most remarkable not because of its epic scope , but because of the startling intimacy it achieves despite that breadth .",45816,0.91667,Very_Positive,4,1
1742,It 's not a great monster movie .,It 's not a great monster movie .,45744,0.23611,Negative,1,1
1743,"But if you 've paid a matinee price and bought a big tub of popcorn , there 's guilty fun to be had here .","But if you 've paid a matinee price and bought a big tub of popcorn , there 's guilty fun to be had here .",222753,0.47222,Neutral,2,1
1744,Chomp chomp !,Chomp chomp !,222929,0.5,Neutral,2,1
1745,The Grey Zone gives voice to a story that needs to be heard in the sea of Holocaust movies ... but the film suffers from its own difficulties .,The Grey Zone gives voice to a story that needs to be heard in the sea of Holocaust movies ... but the film suffers from its own difficulties .,226114,0.58333,Neutral,2,1
1746,"Others , more attuned to the anarchist maxim that ` the urge to destroy is also a creative urge ' , or more willing to see with their own eyes , will find Morrison 's iconoclastic uses of technology to be liberating .","Others , more attuned to the anarchist maxim that ` the urge to destroy is also a creative urge ' , or more willing to see with their own eyes , will find Morrison 's iconoclastic uses of technology to be liberating .",46460,0.83333,Very_Positive,4,1
1747,"Miller tells this very compelling tale with little fuss or noise , expertly plucking tension from quiet .","Miller tells this very compelling tale with little fuss or noise , expertly plucking tension from quiet .",46186,0.70833,Positive,3,1
1748,Time Out is existential drama without any of the pretension associated with the term .,Time Out is existential drama without any of the pretension associated with the term .,47430,0.69444,Positive,3,1
1749,"It 's a sweet , laugh-a-minute crowd pleaser that lifts your spirits as well as the corners of your mouth .","It 's a sweet , laugh-a-minute crowd pleaser that lifts your spirits as well as the corners of your mouth .",45726,0.70833,Positive,3,1
1751,A movie that at its best does n't just make the most out of its characters ' flaws but insists on the virtue of imperfection .,A movie that at its best does n't just make the most out of its characters ' flaws but insists on the virtue of imperfection .,44170,0.59722,Neutral,2,1
1752,"It 's tough to watch , but it 's a fantastic movie .","It 's tough to watch , but it 's a fantastic movie .",45764,0.80556,Very_Positive,4,1
1753,The best animated feature to hit theaters since Beauty and the Beast 11 years ago .,The best animated feature to hit theaters since Beauty and the Beast 11 years ago .,46981,0.83333,Very_Positive,4,1
1754,What saves this deeply affecting film from being merely a collection of wrenching cases is Corcuera 's attention to detail .,What saves this deeply affecting film from being merely a collection of wrenching cases is Corcuera 's attention to detail .,47600,0.69444,Positive,3,1
1755,Pacino is the best he 's been in years and Keener is marvelous .,Pacino is the best he 's been in years and Keener is marvelous .,46470,0.88889,Very_Positive,4,1
1756,"A solid , spooky entertainment worthy of the price of a ticket .","A solid , spooky entertainment worthy of the price of a ticket .",44260,0.75,Positive,3,1
1757,"By turns fanciful , grisly and engagingly quixotic .","By turns fanciful , grisly and engagingly quixotic .",44825,0.69444,Positive,3,1
1758,"... very funny , very enjoyable ...","... very funny , very enjoyable ...",43872,0.91667,Very_Positive,4,1
1759,Adaptation is intricately constructed and in a strange way nails all of Orlean 's themes without being a true adaptation of her book .,Adaptation is intricately constructed and in a strange way nails all of Orlean 's themes without being a true adaptation of her book .,44366,0.63889,Positive,3,1
1760,So purely enjoyable that you might not even notice it 's a fairly straightforward remake of Hollywood comedies such as Father of the Bride .,So purely enjoyable that you might not even notice it 's a fairly straightforward remake of Hollywood comedies such as Father of the Bride .,46751,0.79167,Positive,3,1
1761,Moonlight Mile gives itself the freedom to feel contradictory things .,Moonlight Mile gives itself the freedom to feel contradictory things .,46204,0.79167,Positive,3,1
1762,"It is sentimental but feels free to offend , is analytical and then surrenders to the illogic of its characters , is about grief and yet permits laughter .","It is sentimental but feels free to offend , is analytical and then surrenders to the illogic of its characters , is about grief and yet permits laughter .",45819,0.80556,Very_Positive,4,1
1763,"The real triumphs in Igby come from Philippe , who makes Oliver far more interesting than the character 's lines would suggest , and Sarandon , who could n't be better as a cruel but weirdly likable WASP matron .","The real triumphs in Igby come from Philippe , who makes Oliver far more interesting than the character 's lines would suggest , and Sarandon , who could n't be better as a cruel but weirdly likable WASP matron .",47237,0.77778,Positive,3,1
1764,Robin Williams has thankfully ditched the saccharine sentimentality of Bicentennial Man in favour of an altogether darker side .,Robin Williams has thankfully ditched the saccharine sentimentality of Bicentennial Man in favour of an altogether darker side .,225639,0.63889,Positive,3,1
1765,"If you 're willing to have fun with it , you wo n't feel cheated by the high infidelity of Unfaithful .","If you 're willing to have fun with it , you wo n't feel cheated by the high infidelity of Unfaithful .",45629,0.65278,Positive,3,1
1766,Australia : Land Beyond Time is an enjoyable Big Movie primarily because Australia is a weirdly beautiful place .,Australia : Land Beyond Time is an enjoyable Big Movie primarily because Australia is a weirdly beautiful place .,44620,0.75,Positive,3,1
1767,Hoffman 's performance is authentic to the core of his being .,Hoffman 's performance is authentic to the core of his being .,45502,0.73611,Positive,3,1
1768,Told just proficiently enough to trounce its overly comfortable trappings .,Told just proficiently enough to trounce its overly comfortable trappings .,47438,0.69444,Positive,3,1
1769,"An enthralling aesthetic experience , one that 's steeped in mystery and a ravishing , baroque beauty .","An enthralling aesthetic experience , one that 's steeped in mystery and a ravishing , baroque beauty .",44483,0.81944,Very_Positive,4,1
1770,The quirky drama touches the heart and the funnybone thanks to the energetic and always surprising performance by Rachel Griffiths .,The quirky drama touches the heart and the funnybone thanks to the energetic and always surprising performance by Rachel Griffiths .,47231,0.83333,Very_Positive,4,1
1771,A captivating coming-of-age story that may also be the first narrative film to be truly informed by the wireless age .,A captivating coming-of-age story that may also be the first narrative film to be truly informed by the wireless age .,43985,0.81944,Very_Positive,4,1
1772,What could have been a daytime soap opera is actually a compelling look at a young woman 's tragic odyssey .,What could have been a daytime soap opera is actually a compelling look at a young woman 's tragic odyssey .,47596,0.75,Positive,3,1
